time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
1949,37,142,223232,-0.018791535985656083,6960,-41.38046145439148,0.26763551915064454,0.9305256009101868,0.020305455,0.14300870895385742,0.0004092704424510632,0.06344127655029297,0.1468505859375,0.2,-2.18423762,1258.0
1949,37,143,223744,-0.024263022118248045,6976,-41.376187562942505,0.006432329581002705,0.9301645159721375,0.017708052,-2.8012208938598633,0.0004092704424510632,-0.032666075974702835,0.2347412109375,0.2,-2.18423762,1258.0
1948,37,144,224256,-0.02894148853374645,6992,-41.37343633174896,0.00656899155001156,0.9298058748245239,0.025318965,0.06005704402923584,0.0004092704424510632,-0.033287424594163895,0.2974853515625,0.2,-2.18441329,1258.0
1948,38,145,224768,-0.023359053127933294,7008,-41.353654742240906,0.28540791058912873,0.9293121099472046,0.015479314,0.07679057121276855,0.0004092704424510632,0.050918176770210266,0.207275390625,0.2,-2.18441329,1258.0
1948,38,146,225280,-0.027901462162844837,7024,-41.32663011550903,0.009633473280700855,0.9285922050476074,0.021741398,-7.84793758392334,0.0004092704424510632,-0.03401445224881172,0.263916015625,0.2,-2.18486913,1258.0
1948,38,147,225792,-0.019798716180957854,7040,-41.30563473701477,0.30910261021927,0.928162693977356,0.015463123,0.06315195560455322,0.0004092704424510632,0.08018653094768524,0.16259765625,0.2,-2.18486913,1258.0
4108,0,1,226304,-0.023891134856967255,7056,-41.32005822658539,0.00611973454215331,0.9298151135444641,0.013516038,-5.035589694976807,0.0004092704424510632,-0.03592338413000107,0.187255859375,0.2,-2.18486913,1258.0
2580,0,2,226816,-0.02707314764847979,7072,-41.359695076942444,0.008283167102490552,0.9293555021286011,0.01891646,0.11561179161071777,0.0004092704424510632,-0.04791472479701042,0.252685546875,0.2,-2.18619879,1258.0
2339,0,3,227328,-0.028991970786591992,7088,-41.33570683002472,0.2808388825505972,0.9287453889846802,0.024763938,0.08044999837875366,0.0004092704424510632,0.039208993315696716,0.2052001953125,0.2,-2.18619879,1258.0
2224,0,4,227840,-0.024324019395862706,7104,-41.33131217956543,0.022412741716834716,0.9292596578598022,0.018874021,-8.638197898864746,0.0004092704424510632,-0.03712259605526924,0.2369384765625,0.2,-2.184123,1258.0
2144,1,5,228352,-0.0271511786559131,7120,-41.35224211215973,0.3168855500407517,0.929562509059906,0.026180344,0.05003249645233154,0.0004092704424510632,0.07435820251703262,0.2720947265625,0.2,-2.184123,1258.0
2097,1,6,228864,-0.021868104464374483,7136,-41.347076058387756,0.003852469573757844,0.9295893311500549,0.01597406,-2.556095600128174,0.0004092704424510632,-0.03245231509208679,0.2232666015625,0.2,-2.184123,1258.0
2068,1,7,229376,-0.030809755051450338,7152,-41.34897434711456,0.00618804813711904,0.9292168021202087,0.021783303,0.06503623723983765,0.0004092704424510632,-0.02725640870630741,0.3057861328125,0.2,-2.18493466,1258.0
2055,1,8,229888,-0.023926313675474375,7168,-41.3529896736145,0.2869997303932905,0.929545521736145,0.022513714,0.06714826822280884,0.0004092704424510632,0.018812939524650574,0.213134765625,0.2,-2.18493466,1258.0
2039,2,9,230400,-0.02295803361630533,7184,-41.35551309585571,0.02776483236812055,0.9289915561676025,0.019520275,-11.464137077331543,0.0004092704424510632,-0.03270918130874634,0.1944580078125,0.2,-2.18507517,1258.0
2022,2,10,230912,-0.029620003420859575,7200,-41.3453426361084,0.3055580393411219,0.9288194179534912,0.030902743,0.04349088668823242,0.0004092704424510632,0.04529488459229469,0.3052978515625,0.2,-2.18507517,1258.0
2007,2,11,231424,-0.027568643185077235,7216,-41.336674094200134,0.00888029254929279,0.9282875657081604,0.017686132,-5.076910972595215,0.0004092704424510632,-0.031047824770212173,0.2484130859375,0.2,-2.18507517,1258.0
2001,3,12,231936,-0.029614285536808893,7232,-41.312686920166016,0.00763816072139889,0.9279550313949585,0.019961799,0.027091026306152344,0.0004092704424510632,-0.038736384361982346,0.310791015625,0.2,-2.18666093,1258.0
1999,3,13,232448,-0.0258571239101002,7248,-41.314120173454285,0.24503736291080713,0.9279987812042236,0.035282634,0.0422520637512207,0.0004092704424510632,0.006770215928554535,0.3250732421875,0.2,-2.18666093,1258.0
1992,3,14,232960,-0.022011559311067685,7264,-41.30275917053223,0.02275898147490807,0.9268117547035217,0.01833814,-2.6934027671813965,0.0004092704424510632,-0.024263611063361168,0.212890625,0.2,-2.1844254000000003,1258.0
