time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
37,1217,88,45056,1392,-42.73138153553009,0.2,0.0004092704424510632,-0.02042822539806366,0.2154541015625,0.0035435979298199527,0.01920988,-0.0007823705673217773,-0.020608619168342557,0.9626041650772095,-2.229072114285714,1257.0
37,1217,89,45568,1408,-42.70448851585388,0.2,0.0004092704424510632,-0.03120470978319645,0.18994140625,0.0036831567776971497,0.016110092,-0.0001748800277709961,-0.020295402086048853,0.9610190987586975,-2.2291438055555552,1257.0
37,1217,90,46080,1424,-42.658796429634094,0.2,0.0004092704424510632,0.09445604681968689,0.244140625,0.24143954319879413,0.019606419,3.606081008911133e-05,-0.025968316331272945,0.9601159691810608,-2.2291438055555552,1257.0
38,1216,91,46592,1440,-42.65950930118561,0.2,0.0004092704424510632,-0.034909553825855255,0.2490234375,0.0017206108932441566,0.021391127,-0.04273724555969238,-0.02607732531032525,0.961530864238739,-2.222631324324324,1257.0
38,1216,92,47104,1456,-42.68486225605011,0.2,0.0004092704424510632,0.08031800389289856,0.27001953125,0.2125647747889161,0.025172414,2.09808349609375e-05,-0.02896492858417332,0.9608352184295654,-2.222631324324324,1257.0
39,1216,93,47616,1472,-42.656434178352356,0.2,0.0004092704424510632,-0.02936350554227829,0.2628173828125,0.004902570741251111,0.027644053,-9.298324584960938e-06,-0.027078625047579408,0.9604023694992065,-2.222631324324324,1257.0
39,1215,94,48128,1488,-42.6479287147522,0.2,0.0004092704424510632,-0.04402291774749756,0.214111328125,0.0042113696108572185,0.020642057,-7.867813110351562e-05,-0.023788733858964406,0.9597774147987366,-2.227363763157894,1257.0
40,1215,95,48640,1504,-42.63815140724182,0.2,0.0004092704424510632,0.05209479480981827,0.1669921875,0.22719543473795056,0.014440795,2.7239322662353516e-05,-0.021673998242476955,0.9599649906158447,-2.227363763157894,1257.0
40,1215,96,49152,1520,-42.63902461528778,0.2,0.0004092704424510632,-0.023328883573412895,0.1568603515625,0.004034244426293299,0.013703239,-0.00011157989501953125,-0.015275835699867457,0.9598214030265808,-2.2292741538461534,1257.0
40,1215,97,49664,1536,-42.6273193359375,0.2,0.0004092704424510632,0.07975888252258301,0.2020263671875,0.21206742944195867,0.01947489,2.6345252990722656e-05,-0.0202629761188291,0.9592845439910889,-2.2292741538461534,1257.0
41,1215,98,50176,1552,-42.59541428089142,0.2,0.0004092704424510632,-0.033081620931625366,0.2025146484375,0.004204936245514546,0.015986256,1.0967254638671875e-05,-0.02222180285025388,0.9579100012779236,-2.2292741538461534,1257.0
41,1215,99,50688,1568,-42.559809923172,0.2,0.0004092704424510632,-0.028029855340719223,0.233642578125,0.003380864811333595,0.023055881,-6.67572021484375e-06,-0.025909800198860466,0.9574125409126282,-2.22685325,1257.0
42,1214,100,51200,1584,-42.53525149822235,0.2,0.0004092704424510632,0.08019185066223145,0.264892578125,0.2289855438284576,0.026450807,3.904104232788086e-05,-0.025850815349258482,0.9562613368034363,-2.22685325,1257.0
42,1214,101,51712,1600,-42.49474906921387,0.2,0.0004092704424510632,-0.04242467135190964,0.2030029296875,0.0029298385306901764,0.015126434,-0.00021839141845703125,-0.024334868794539943,0.9552801847457886,-2.227867512195122,1257.0
42,1214,102,52224,1616,-42.470239877700806,0.2,0.0004092704424510632,0.053053151816129684,0.2315673828125,0.20937418099492788,0.019190414,5.2928924560546875e-05,-0.025489034684142098,0.9546180367469788,-2.227867512195122,1257.0
43,1214,103,52736,1632,-42.44765317440033,0.2,0.0004092704424510632,-0.029820812866091728,0.1865234375,0.00405693086941028,0.01590402,1.0132789611816406e-06,-0.021361080871429294,0.9543455243110657,-2.227867512195122,1257.0
43,1213,104,53248,1648,-42.430214405059814,0.2,0.0004092704424510632,-0.03395145758986473,0.1787109375,0.0035963253103545867,0.014982361,-0.0001480579376220703,-0.021326717629563063,0.9531084299087524,-2.2288454285714288,1257.0
44,1213,105,53760,1664,-42.386651158332825,0.2,0.0004092704424510632,0.08312830328941345,0.225341796875,0.21718346467241645,0.021569397,9.590387344360352e-05,-0.025688539382827003,0.9517133235931396,-2.2288454285714288,1257.0
