time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
32256,63,16,1966,0.3741950113326311,0.0004092704424510632,-0.022015891707269475,0.06029600277543068,0.020350924,0.2659912109375,992,0.9691632390022278,0.2,-42.96434545516968,0.039489805698394775,1257.0,-2.9513887600000004
32768,64,16,1966,0.028610398760065436,0.0004092704424510632,-0.02345693418465089,-0.028942804783582687,0.013143011,0.2254638671875,1008,0.9692479968070984,0.2,-42.955498576164246,-0.731447696685791,1257.0,-2.9528740769230777
33280,65,16,1965,0.36600239761173725,0.0004092704424510632,-0.01444704848836409,0.1286507248878479,0.013314531,0.108642578125,1024,0.9696437120437622,0.2,-42.966052412986755,0.4482746124267578,1257.0,-2.9528740769230777
33792,66,17,1965,0.03437939356081188,0.0004092704424510632,-0.021737774739449378,-0.019322913140058517,0.017723136,0.242919921875,1040,0.9692918062210083,0.2,-42.97035586833954,-0.44925546646118164,1257.0,-2.9528740769230777
34304,67,17,1965,0.005862961217644624,0.0004092704424510632,-0.030839798448141664,-0.04385222867131233,0.01903176,0.291259765625,1056,0.9684206247329712,0.2,-42.94226121902466,-0.1617492437362671,1257.0,-2.957413555555556
34816,68,17,1965,0.36287951888516545,0.0004092704424510632,-0.02183377197070513,0.04263320192694664,0.01468337,0.1488037109375,1072,0.9682152271270752,0.2,-42.92417788505554,0.1053612232208252,1257.0,-2.957413555555556
35328,69,17,1964,0.013174147723475471,0.0004092704424510632,-0.02583850675728172,-0.028712879866361618,0.01615185,0.2373046875,1088,0.9697474241256714,0.2,-42.93876099586487,-2.9432759284973145,1257.0,-2.9570716071428578
35840,70,18,1964,0.4018231397494674,0.0004092704424510632,-0.02001382125308737,0.04609650373458862,0.018755972,0.2017822265625,1104,0.9705783724784851,0.2,-42.98708426952362,0.10294800996780396,1257.0,-2.9570716071428578
36352,71,18,1964,0.02616410533664748,0.0004092704424510632,-0.03656348944787169,-0.028714019805192947,0.018993242,0.31591796875,1120,0.9708458781242371,0.2,-42.999361515045166,-0.11219513416290283,1257.0,-2.9570716071428578
36864,72,18,1964,0.006680640275590122,0.0004092704424510632,-0.025901868953951634,-0.03679493069648743,0.014525068,0.2396240234375,1136,0.9690297245979309,0.2,-42.97961974143982,0.003744065761566162,1257.0,-2.951667689655173
37376,73,19,1963,0.41882910300046206,0.0004092704424510632,-0.016728754482755903,0.06484061479568481,0.016792297,0.0999755859375,1152,0.9681572318077087,0.2,-42.92233943939209,0.13227248191833496,1257.0,-2.951667689655173
37888,74,19,1963,0.0222509446030017,0.0004092704424510632,-0.02377584806527011,-0.023586714640259743,0.018395178,0.248291015625,1168,0.9674060940742493,0.2,-42.90359699726105,-3.2126522064208984,1257.0,-2.9481039000000004
38400,75,19,1963,0.4788369727320969,0.0004092704424510632,-0.019297787672257982,0.055807650089263916,0.020651609,0.1624755859375,1184,0.967068076133728,0.2,-42.87803411483765,0.043341994285583496,1257.0,-2.9481039000000004
38912,76,19,1962,0.05207845207769424,0.0004092704424510632,-0.022374278778443113,-0.0034599024802446365,0.014504473,0.2078857421875,1200,0.9651560187339783,0.2,-42.85222148895264,-0.06091642379760742,1257.0,-2.9481039000000004
39424,77,20,1962,0.03525103401625529,0.0004092704424510632,-0.02540552173013566,-0.019471660256385803,0.018644467,0.273193359375,1216,0.9640136361122131,0.2,-42.78951954841614,-0.583863377571106,1257.0,-2.9425600322580654
39936,78,20,1962,0.2473546569235623,0.0004092704424510632,-0.016119401436299086,0.07522715628147125,0.01701751,0.1466064453125,1232,0.9628488421440125,0.2,-42.758670806884766,0.5231614112854004,1257.0,-2.9425600322580654
40448,79,20,1962,0.03752262459602207,0.0004092704424510632,-0.030193143800715916,-0.03991791605949402,0.025577942,0.252685546875,1248,0.9626456499099731,0.2,-42.73233485221863,-3.7328038215637207,1257.0,-2.9411491874999998
40960,80,20,1962,0.43315098620951176,0.0004092704424510632,-0.020646723234676756,0.07222861796617508,0.034625806,0.2840576171875,1264,0.9629052877426147,0.2,-42.735952258110046,0.016070783138275146,1257.0,-2.9411491874999998
41472,81,21,1962,0.03414639917900786,0.0004092704424510632,-0.02695936377858743,-0.024215247482061386,0.016564947,0.242431640625,1280,0.9609816670417786,0.2,-42.714743971824646,-0.32680368423461914,1257.0,-2.9411491874999998
41984,82,21,1962,0.17930580535903573,0.0004092704424510632,-0.01651799944374943,0.06752166152000427,0.019860215,0.207275390625,1296,0.9600280523300171,0.2,-42.65624916553497,0.5859739780426025,1257.0,-2.941233636363636
42496,83,21,1962,0.08530195034109056,0.0004092704424510632,-0.027484968799399212,-0.0029263533651828766,0.021263652,0.24951171875,1312,0.9605138301849365,0.2,-42.65306293964386,0.7534763216972351,1257.0,-2.941233636363636
43008,84,21,1962,0.028081036114599556,0.0004092704424510632,-0.022249027766520157,-0.0178269911557436,0.01726083,0.2349853515625,1328,0.9620378613471985,0.2,-42.67923080921173,-1.2029447555541992,1257.0,-2.942350558823529
43520,85,22,1962,0.3672639140859246,0.0004092704424510632,-0.014559406758053228,0.07425588369369507,0.013247261,0.09912109375,1344,0.9629653096199036,0.2,-42.727832317352295,0.11729860305786133,1257.0,-2.942350558823529
44032,86,22,1962,0.03377893369179219,0.0004092704424510632,-0.02514891276950948,-0.017054446041584015,0.022972759,0.236083984375,1360,0.9642685055732727,0.2,-42.753780126571655,-0.28125810623168945,1257.0,-2.940847057142857
44544,87,22,1962,0.4123293114826083,0.0004092704424510632,-0.0120307373435935,0.14340975880622864,0.01398252,0.095947265625,1376,0.9644362330436707,0.2,-42.78270983695984,0.5915411710739136,1257.0,-2.940847057142857
45056,88,22,1962,0.016188074252568185,0.0004092704424510632,-0.02648811982362531,-0.034102361649274826,0.016772706,0.2369384765625,1392,0.9649420380592346,0.2,-42.7847797870636,-1.342440128326416,1257.0,-2.940847057142857
45568,89,23,1962,0.004840157642320264,0.0004092704424510632,-0.03296439382393146,-0.05249051749706268,0.017997352,0.2899169921875,1408,0.9679561257362366,0.2,-42.834200978279114,-0.01517629623413086,1257.0,-2.942195194444444
46080,90,23,1961,0.5798285519704223,0.0004092704424510632,-0.02092817673110403,0.0649113804101944,0.017586276,0.18701171875,1424,0.9688289761543274,0.2,-42.90505611896515,0.025876998901367188,1257.0,-2.942195194444444
46592,91,23,1961,0.023139682947658002,0.0004092704424510632,-0.0292974351614248,-0.03387916460633278,0.020729903,0.2491455078125,1440,0.9661309719085693,0.2,-42.881595969200134,-1.666856288909912,1257.0,-2.9377327027027023
47104,92,24,1961,0.4192431978881359,0.0004092704424510632,-0.01292748264677357,0.11955168098211288,0.013533975,0.088134765625,1456,0.9655314683914185,0.2,-42.81080615520477,0.41350412368774414,1257.0,-2.9377327027027023
47616,93,24,1961,0.04285451828036457,0.0004092704424510632,-0.02201761890319176,-0.00867406465113163,0.017062686,0.2242431640625,1472,0.9668520092964172,0.2,-42.82510817050934,-0.5413838624954224,1257.0,-2.9377327027027023
48128,94,24,1961,0.006418320830562152,0.0004092704424510632,-0.023063700922648422,-0.03811828792095184,0.014990082,0.2318115234375,1488,0.9669872522354126,0.2,-42.85141599178314,-0.1617436408996582,1257.0,-2.941063578947368
48640,95,24,1961,0.44900337886065245,0.0004092704424510632,-0.014532782359310659,0.07621914893388748,0.013176842,0.0579833984375,1504,0.9669780135154724,0.2,-42.85422205924988,0.148440420627594,1257.0,-2.941063578947368
49152,96,25,1960,0.04336165339918807,0.0004092704424510632,-0.0320095238275826,-0.02548561431467533,0.030738972,0.28271484375,1520,0.9656856656074524,0.2,-42.83513629436493,-2.4444615840911865,1257.0,-2.9395107948717945
49664,97,25,1960,0.5495670032687485,0.0004092704424510632,-0.00851357491046656,0.14026206731796265,0.009361284,0.0462646484375,1536,0.9654290676116943,0.2,-42.79894936084747,0.33643561601638794,1257.0,-2.9395107948717945
50176,98,25,1960,0.0502752517350018,0.0004092704424510632,-0.028299036988755688,-0.019401898607611656,0.018925935,0.235107421875,1552,0.9662353992462158,0.2,-42.803950548172,-0.9520211219787598,1257.0,-2.9395107948717945
50688,99,25,1960,0.009063554782187566,0.0004092704424510632,-0.026210029987851158,-0.031743600964546204,0.0176206,0.2535400390625,1568,0.9670904278755188,0.2,-42.82930874824524,-0.13549602031707764,1257.0,-2.9359686750000002
51200,100,26,1960,0.38618615502491593,0.0004092704424510632,-0.014909124525729567,0.052535269409418106,0.013020284,0.1005859375,1584,0.9671759009361267,0.2,-42.83990836143494,0.19880175590515137,1257.0,-2.9359686750000002
51712,101,26,1960,0.02356268255971372,0.0004092704424510632,-0.021151206019567326,-0.030697710812091827,0.019546598,0.2041015625,1600,0.9670851230621338,0.2,-42.83747184276581,-3.3553595542907715,1257.0,-2.935899024390244
52224,102,26,1960,0.5581884710118175,0.0004092704424510632,-0.012857591689680703,0.09197036921977997,0.011653651,0.050537109375,1616,0.966897189617157,0.2,-42.83373308181763,0.20260274410247803,1257.0,-2.935899024390244
52736,103,26,1960,0.044005499104969203,0.0004092704424510632,-0.02397104939154815,-0.010455083101987839,0.018788625,0.2347412109375,1632,0.9661039710044861,0.2,-42.82091224193573,0.13441675901412964,1257.0,-2.935899024390244
53248,104,27,1960,0.032291528885252774,0.0004092704424510632,-0.03101987429545261,-0.023066803812980652,0.02113396,0.300048828125,1648,0.9673000574111938,0.2,-42.81308364868164,-0.21198976039886475,1257.0,-2.9371272857142863
53760,105,27,1960,0.29737755935639143,0.0004092704424510632,-0.01488749499549158,0.07774709910154343,0.013333529,0.134765625,1664,0.968115508556366,0.2,-42.85623610019684,0.5494284629821777,1257.0,-2.9371272857142863
54272,106,27,1960,0.04112421302124858,0.0004092704424510632,-0.025809591461438686,-0.02780531719326973,0.01873893,0.221923828125,1680,0.9688680171966553,0.2,-42.8784716129303,-4.203327655792236,1257.0,-2.9358319534883726
54784,107,27,1959,0.5304437610320747,0.0004092704424510632,-0.017255423037568107,0.057353999465703964,0.013321292,0.1072998046875,1696,0.9691508412361145,0.2,-42.89482915401459,0.1079397201538086,1257.0,-2.9358319534883726
55296,108,28,1959,0.06267319933976978,0.0004092704424510632,-0.025964249565731734,-0.009894218295812607,0.015789956,0.251953125,1712,0.9687092304229736,0.2,-42.893460154533386,0.226889967918396,1257.0,-2.9358319534883726
55808,109,28,1959,0.270943071693182,0.0004092704424510632,-0.018539675831561908,0.12184954434633255,0.024988506,0.217529296875,1728,0.9682970643043518,0.2,-42.88292217254639,0.6390816569328308,1257.0,-2.935891181818182
56320,110,28,1959,0.09985080338083208,0.0004092704424510632,-0.0218651769682765,0.007263466715812683,0.014194623,0.2376708984375,1744,0.9679491519927979,0.2,-42.870309472084045,0.7937768697738647,1257.0,-2.935891181818182
56832,111,29,1959,0.04955996433272958,0.0004092704424510632,-0.01863345949095674,-0.003234991803765297,0.014761867,0.20263671875,1760,0.9671387076377869,0.2,-42.85183346271515,-0.866551399230957,1257.0,-2.9403835555555555
57344,112,29,1959,0.5255935518071055,0.0004092704424510632,-0.016874319611815736,0.07901990413665771,0.011546325,0.0968017578125,1776,0.966548502445221,0.2,-42.82634997367859,0.09617847204208374,1257.0,-2.9403835555555555
57856,113,29,1959,0.025420872727409005,0.0004092704424510632,-0.02436773930094205,-0.011915981769561768,0.020449948,0.267333984375,1792,0.9687267541885376,0.2,-42.841717004776,-0.34954142570495605,1257.0,-2.941458913043478
58368,114,29,1959,0.4425351903773844,0.0004092704424510632,-0.014599056434235536,0.16229213774204254,0.013603663,0.090576171875,1808,0.9693418145179749,0.2,-42.901965379714966,0.6062002182006836,1257.0,-2.941458913043478
