time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/std,train/approx_kl,train/learning_rate,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
214016,1745,124,36,0.004008007796073798,-43.00866520404816,0.2,-0.14847850799560547,0.212890625,-0.019063031766563654,-0.035666752606630325,0.97630774974823,0.01457479,0.0004092704424510632,6672,1257.0,-2.4504954899999998
214528,1745,125,36,1.7691815965808928,-42.9862174987793,0.2,0.23449373245239258,0.016845703125,-0.0027059228013968095,0.17436017096042633,0.9760212898254395,0.007433737,0.0004092704424510632,6688,1257.0,-2.4504954899999998
215040,1745,126,36,0.003449719733907841,-42.981319546699524,0.2,-2.72985577583313,0.302490234375,-0.02814245648914948,-0.03986195847392082,0.9757681488990784,0.019815922,0.0004092704424510632,6704,1257.0,-2.44878254
215552,1746,127,37,1.7122911186888814,-42.96881914138794,0.2,0.06499665975570679,0.0062255859375,-0.005375566412112676,0.22354480624198914,0.9756849408149719,0.0044356682,0.0004092704424510632,6720,1257.0,-2.44878254
216064,1746,128,37,0.009952764550689608,-42.97786211967468,0.2,-0.7260174751281738,0.306396484375,-0.033493178692879155,-0.03930577263236046,0.9762889742851257,0.018902533,0.0004092704424510632,6736,1257.0,-2.44878254
216576,1747,129,37,0.005703092203475535,-42.98882436752319,0.2,-0.021203041076660156,0.1483154296875,-0.015269523253664374,-0.014760926365852356,0.9748522043228149,0.012581824,0.0004092704424510632,6752,1257.0,-2.4482702599999997
217088,1747,130,38,1.4118409873917699,-42.94500386714935,0.2,0.2325032353401184,0.0140380859375,-0.004952045943355188,0.1861855536699295,0.9741461873054504,0.0059836707,0.0004092704424510632,6768,1257.0,-2.4482702599999997
217600,1747,131,38,0.033154426724649966,-42.95957398414612,0.2,-2.73466420173645,0.26025390625,-0.023189209518022835,-0.03364306688308716,0.976219654083252,0.025653811,0.0004092704424510632,6784,1257.0,-2.4456856900000004
218112,1747,132,38,0.8167436085641384,-43.02503025531769,0.2,0.6861127614974976,0.05224609375,-0.009100922019570135,0.33333510160446167,0.9772325158119202,0.009472517,0.0004092704424510632,6800,1257.0,-2.4456856900000004
218624,1747,133,38,0.04634566872846335,-43.034682631492615,0.2,-1.532411813735962,0.2384033203125,-0.021795089371153153,-0.01743941754102707,0.9776521921157837,0.01898506,0.0004092704424510632,6816,1257.0,-2.4456856900000004
219136,1748,134,39,0.1293578844051808,-43.05678725242615,0.2,0.46398961544036865,0.2366943359375,-0.026986679178662598,0.019222013652324677,0.9783163666725159,0.020323299,0.0004092704424510632,6832,1257.0,-2.44813652
219648,1748,135,39,0.6918227216228843,-43.06718850135803,0.2,0.8123262524604797,0.069091796875,-0.009819621685892344,0.10767488181591034,0.9784265160560608,0.014389688,0.0004092704424510632,6848,1257.0,-2.44813652
220160,1748,136,39,0.07345383672509342,-43.056458711624146,0.2,-3.0453577041625977,0.2254638671875,-0.022751860320568085,-0.005144329741597176,0.9777316451072693,0.022021275,0.0004092704424510632,6864,1257.0,-2.44567351
220672,1748,137,40,0.8363693179562688,-43.0319766998291,0.2,0.7834907174110413,0.0238037109375,-0.005028882180340588,0.37139758467674255,0.9775146842002869,0.007290346,0.0004092704424510632,6880,1257.0,-2.44567351
221184,1748,138,40,0.21787682408466935,-43.04045116901398,0.2,0.34938275814056396,0.2635498046875,-0.027696805977029726,0.04416925460100174,0.9781686067581177,0.031013817,0.0004092704424510632,6896,1257.0,-2.44567351
221696,1748,139,40,1.4459265880286694,-43.055516719818115,0.2,0.736831784248352,0.0125732421875,-0.004942879633745179,0.5626358389854431,0.9783340096473694,0.0046789255,0.0004092704424510632,6912,1257.0,-2.44592831
