time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
50176,98,1782,28,0.0004092704424510632,-2.715911865234375,1552,0.2,0.2288818359375,0.010718511104641948,0.9656170010566711,-42.816035985946655,0.019536665,-0.04402219504117966,-0.024925413716118783,-2.680210923076923,1258.0
50688,99,1782,28,0.0004092704424510632,0.39162492752075195,1568,0.2,0.309326171875,0.01699730008840561,0.9656080603599548,-42.8276401758194,0.034269597,-0.03558286279439926,-0.025875622872263193,-2.674268575,1258.0
51200,100,1781,28,0.0004092704424510632,0.11892092227935791,1584,0.2,0.111572265625,0.4225558312609792,0.9656116962432861,-42.828503489494324,0.015996959,0.1461407095193863,-0.018621694209286943,-2.674268575,1258.0
51712,101,1781,29,0.0004092704424510632,-4.754788875579834,1600,0.2,0.2259521484375,0.02095994248520583,0.9647659659385681,-42.826292991638184,0.016960936,-0.0341113843023777,-0.024575505762186367,-2.6743081951219514,1258.0
52224,102,1781,29,0.0004092704424510632,0.08001458644866943,1616,0.2,0.212646484375,0.4152948372066021,0.9645562171936035,-42.80113482475281,0.024473567,0.1384367048740387,-0.023109443631256,-2.6743081951219514,1258.0
52736,103,1781,29,0.0004092704424510632,-1.9784445762634277,1632,0.2,0.248779296875,0.026600433338899165,0.9653097987174988,-42.81131291389465,0.02419668,-0.0239633247256279,-0.026457120082341135,-2.6743081951219514,1258.0
53248,104,1782,29,0.0004092704424510632,2.3603439331054688e-05,1648,0.2,0.296875,0.025969801819883287,0.966765820980072,-42.84852588176727,0.027430903,-0.021419672295451164,-0.030111632542684674,-2.673323857142857,1258.0
53760,105,1783,30,0.0004092704424510632,0.16194766759872437,1664,0.2,0.19140625,0.3421826562844217,0.9664424061775208,-42.87353157997131,0.020979619,0.11446875333786011,-0.024008197753573768,-2.673323857142857,1258.0
54272,106,1783,30,0.0004092704424510632,-5.522188663482666,1680,0.2,0.2728271484375,0.007949503837153316,0.9666556715965271,-42.856645345687866,0.022867711,-0.043751876801252365,-0.029250435589347035,-2.6729030930232556,1258.0
54784,107,1784,30,0.0004092704424510632,0.033162057399749756,1696,0.2,0.207275390625,0.3949410831555724,0.9663693308830261,-42.86327028274536,0.01785362,0.16168084740638733,-0.016695971600711346,-2.6729030930232556,1258.0
55296,108,1784,30,0.0004092704424510632,-4.386806011199951,1712,0.2,0.24755859375,0.03340711473720148,0.9665599465370178,-42.85080146789551,0.023315988,-0.028285294771194458,-0.026623409634339623,-2.6729030930232556,1258.0
55808,109,1785,31,0.0004092704424510632,0.11680573225021362,1728,0.2,0.23095703125,0.03177856479305774,0.967529833316803,-42.8744558095932,0.01611372,-0.01228264532983303,-0.022159140135045163,-2.670965,1258.0
56320,110,1787,31,0.0004092704424510632,0.1917305588722229,1744,0.2,0.16748046875,0.3217764664441347,0.9686323404312134,-42.9025776386261,0.028259426,0.10927670449018478,-0.020386794378282502,-2.670965,1258.0
56832,111,1788,31,0.0004092704424510632,-5.820444583892822,1760,0.2,0.245849609375,0.013022122810070869,0.9674838781356812,-42.91334676742554,0.01985978,-0.033578112721443176,-0.028642475575907156,-2.6661094666666667,1258.0
57344,112,1789,32,0.0004092704424510632,0.039002835750579834,1776,0.2,0.270263671875,0.3706519706174731,0.966593325138092,-42.862436175346375,0.025427863,0.09808538109064102,-0.025881111534545198,-2.6661094666666667,1258.0
57856,113,1790,32,0.0004092704424510632,-2.187854290008545,1792,0.2,0.26171875,0.030636103183496743,0.966922402381897,-42.857792377471924,0.02279508,-0.021035578101873398,-0.028261501705856062,-2.6661094666666667,1258.0
58368,114,1791,32,0.0004092704424510632,0.4509233236312866,1808,0.2,0.199951171875,0.04043319169431925,0.9665599465370178,-42.86710739135742,0.011092956,-0.02003532461822033,-0.024118145258398727,-2.6653678695652174,1258.0
58880,115,1792,32,0.0004092704424510632,0.2627331614494324,1824,0.2,0.319580078125,0.15970450569875538,0.9664900898933411,-42.85576832294464,0.030882288,0.041042204946279526,-0.02273152381530963,-2.6653678695652174,1258.0
