time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/std,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
1730,212992,122,36,-0.03802822530269623,-42.77919375896454,0.18750357627868652,-0.025670565984910354,6640,0.0040131552595994435,0.2,0.0004092704424510632,0.021235088,0.9750320911407471,0.2744140625,1258.0,-2.0680507
1729,213504,123,36,0.15971529483795166,-42.81015741825104,0.43848687410354614,-0.008235138840973377,6656,0.8816043874248862,0.2,0.0004092704424510632,0.01013203,0.9753915071487427,0.0291748046875,1258.0,-2.0680507
1728,214016,124,36,-0.017482483759522438,-42.80784356594086,-0.12926936149597168,-0.02176521894580219,6672,0.01926108935731463,0.2,0.0004092704424510632,0.020115191,0.9745554327964783,0.2564697265625,1258.0,-2.0652555800000005
1726,214528,125,37,0.2277146726846695,-42.784842014312744,0.6587936878204346,-0.004857936481130309,6688,0.9957032445818186,0.2,0.0004092704424510632,0.012276248,0.9741171002388,0.0322265625,1258.0,-2.0652555800000005
1725,215040,126,37,-0.03984342887997627,-42.76691114902496,-15.132455825805664,-0.025282455870183185,6704,0.004133338930842001,0.2,0.0004092704424510632,0.021304943,0.9729340076446533,0.2781982421875,1258.0,-2.0652555800000005
1724,215552,127,37,-0.03304491564631462,-42.7546820640564,0.22102707624435425,-0.02774459334614221,6720,0.005082735158794094,0.2,0.0004092704424510632,0.017814357,0.9738239645957947,0.2708740234375,1258.0,-2.0632639600000005
1723,216064,128,38,0.09528720378875732,-42.77121090888977,0.5017721652984619,-0.015643513470422477,6736,0.7459572874940932,0.2,0.0004092704424510632,0.009588734,0.9739683270454407,0.0389404296875,1258.0,-2.0632639600000005
1721,216576,129,38,-0.031225016340613365,-42.788140177726746,-2.7211766242980957,-0.025477322182268836,6752,0.01948544938932173,0.2,0.0004092704424510632,0.018400047,0.9757075309753418,0.2529296875,1258.0,-2.0631089800000004
1719,217088,130,38,0.20221053063869476,-42.83782911300659,0.3350021243095398,-0.012452487470000051,6768,0.874107210431248,0.2,0.0004092704424510632,0.010792248,0.9765281677246094,0.054443359375,1258.0,-2.0631089800000004
1717,217600,131,39,-0.033078789710998535,-42.83644092082977,-2.6902639865875244,-0.02218570873083081,6784,0.002969298348034499,0.2,0.0004092704424510632,0.013319308,0.9765113592147827,0.2064208984375,1258.0,-2.0631089800000004
1716,218112,132,39,-0.00042136572301387787,-42.82124364376068,0.5609526038169861,-0.025041114684427157,6800,0.053521908121183515,0.2,0.0004092704424510632,0.01597313,0.9760801196098328,0.2490234375,1258.0,-2.0602126000000003
1715,218624,133,39,-0.022919252514839172,-42.82019853591919,0.7228056192398071,-0.02522857187432237,6816,0.17435802309773862,0.2,0.0004092704424510632,0.037820626,0.975746750831604,0.1981201171875,1258.0,-2.0602126000000003
1714,219136,134,40,-0.027758736163377762,-42.835349321365356,-1.5919015407562256,-0.026149747980525717,6832,0.016990911215543747,0.2,0.0004092704424510632,0.02286715,0.977803647518158,0.279052734375,1258.0,-2.06102705
1713,219648,135,40,0.15207192301750183,-42.9047646522522,0.4245171546936035,-0.0020234126859577373,6848,1.1020008064806461,0.2,0.0004092704424510632,0.005502986,0.9788150787353516,0.0081787109375,1258.0,-2.06102705
1712,220160,136,40,-0.03724562004208565,-42.90672588348389,-2.175586462020874,-0.024538100115023553,6864,0.0027287632001389284,0.2,0.0004092704424510632,0.01567154,0.9782888293266296,0.2227783203125,1258.0,-2.06060674
1711,220672,137,40,0.1309182196855545,-42.88697946071625,0.1894027590751648,-0.004028705443488434,6880,1.3187413988634944,0.2,0.0004092704424510632,0.007825137,0.9777189493179321,0.0213623046875,1258.0,-2.06060674
1710,221184,138,41,-0.040195249021053314,-42.87540292739868,-5.2712249755859375,-0.025052891607629135,6896,0.0032568496390013024,0.2,0.0004092704424510632,0.019933097,0.9774457216262817,0.259521484375,1258.0,-2.06060674
1709,221696,139,41,-0.03951923921704292,-42.89551758766174,0.0909813642501831,-0.027244691125815734,6912,0.003069990918447729,0.2,0.0004092704424510632,0.019148793,0.9789959788322449,0.2623291015625,1258.0,-2.0582457
1708,222208,140,41,0.2935636341571808,-42.93396472930908,0.47408127784729004,-0.004536094587820116,6928,1.1796887824311852,0.2,0.0004092704424510632,0.0056363386,0.979411244392395,0.012939453125,1258.0,-2.0582457
