time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
86,1632,44032,26,0.23388671875,-5.0318522453308105,-0.0304863341152668,0.010648269235389307,1360,0.2,0.0004092704424510632,-0.025137747143162414,0.018394995,-42.762072801589966,0.962322473526001,-2.9493404285714284,1257.0
87,1633,44544,27,0.178466796875,0.028852760791778564,0.029751533642411232,0.17366825439967215,1376,0.2,0.0004092704424510632,-0.017308499998762272,0.011983663,-42.69773507118225,0.961264431476593,-2.9493404285714284,1257.0
88,1634,45056,27,0.2042236328125,-1.4669277667999268,-0.020764464512467384,0.006348620954668149,1392,0.2,0.0004092704424510632,-0.0209548515122151,0.014779952,-42.67652416229248,0.9610410332679749,-2.9493404285714284,1257.0
89,1636,45568,27,0.2413330078125,-0.19678950309753418,-0.044309597462415695,0.004080068094481248,1408,0.2,0.0004092704424510632,-0.029780320095596835,0.020701464,-42.66011667251587,0.9600678086280823,-2.9471311388888886,1257.0
90,1637,46080,28,0.2314453125,0.04029601812362671,0.01882898434996605,0.18983508367091417,1424,0.2,0.0004092704424510632,-0.02340721084328834,0.024485633,-42.643744349479675,0.9601005911827087,-2.9471311388888886,1257.0
91,1638,46592,28,0.240966796875,-9.27281665802002,-0.03157058730721474,0.020917513989843428,1440,0.2,0.0004092704424510632,-0.027932285622227937,0.021736383,-42.66044485569,0.9611133337020874,-2.940549378378378,1257.0
92,1639,47104,28,0.2498779296875,0.008918583393096924,0.03369174525141716,0.22496045334264636,1456,0.2,0.0004092704424510632,-0.024797054385999218,0.021714982,-42.70496070384979,0.9623717069625854,-2.940549378378378,1257.0
93,1642,47616,28,0.21875,-2.915693759918213,-0.027418332174420357,0.008583220216678455,1472,0.2,0.0004092704424510632,-0.022554357565240934,0.017008107,-42.734418511390686,0.9629133939743042,-2.940549378378378,1257.0
94,1643,48128,29,0.2061767578125,-0.025295257568359375,-0.03446892648935318,0.003305545455077663,1488,0.2,0.0004092704424510632,-0.023985922103747725,0.015154516,-42.70983350276947,0.9604881405830383,-2.9418059473684206,1257.0
95,1645,48640,29,0.24169921875,0.02481931447982788,0.013426344841718674,0.16021082596853375,1504,0.2,0.0004092704424510632,-0.02324200606381055,0.024274249,-42.635807037353516,0.9590175747871399,-2.9418059473684206,1257.0
