time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
164352,27,7,1861,-43.020873069763184,0.00025678503152448684,0.002557109,0.5568601489067078,0.9766194820404053,5120,0.000244140625,0.2,1.085507427342236,0.14292293787002563,0.0004092704424510632,1258.0,-2.706756870000001
164864,28,7,1860,-43.02382433414459,-0.025519911010633223,0.017891768,-0.08559274673461914,0.9767752885818481,5136,0.2664794921875,0.2,0.00530096980946837,-0.049968574196100235,0.0004092704424510632,1258.0,-2.7051337100000006
165376,29,7,1857,-43.02752470970154,-0.0005442991096060723,0.0028850315,0.6564298868179321,0.9767970442771912,5152,0.0009765625,0.2,1.1080462322570384,0.18986472487449646,0.0004092704424510632,1258.0,-2.7051337100000006
165888,30,8,1856,-43.01545488834381,-0.02486342542397324,0.021097023,0.05769920349121094,0.9757698178291321,5168,0.2421875,0.2,0.0036207738230586983,-0.038201309740543365,0.0004092704424510632,1258.0,-2.7051337100000006
166400,31,8,1855,-42.99319064617157,-0.02776209617150016,0.023734454,0.4441802501678467,0.9754365682601929,5184,0.2703857421875,0.2,0.006847486278275028,-0.03635257109999657,0.0004092704424510632,1258.0,-2.7025335600000004
166912,32,8,1854,-42.986146569252014,-0.004231376005918719,0.005966357,0.7349146008491516,0.9754297733306885,5200,0.08056640625,0.2,0.8430318259634078,0.07182904332876205,0.0004092704424510632,1258.0,-2.7025335600000004
167424,33,9,1853,-42.98916399478912,-0.025199703020916786,0.020202445,-1.3490102291107178,0.9754829406738281,5216,0.2806396484375,0.2,0.008635813632281497,-0.039219602942466736,0.0004092704424510632,1258.0,-2.70408785
167936,34,9,1851,-42.99492621421814,-0.008903519803425297,0.006245247,0.7087386846542358,0.9755446910858154,5232,0.0184326171875,0.2,1.1116013191640377,0.11680544167757034,0.0004092704424510632,1258.0,-2.70408785
168448,35,9,1849,-42.99910318851471,-0.0334533578279661,0.022175772,0.032222867012023926,0.9759455323219299,5248,0.3189697265625,0.2,0.006182351964525878,-0.0362669937312603,0.0004092704424510632,1258.0,-2.70408785
168960,36,9,1847,-43.032477259635925,-0.02948665275471285,0.022388909,0.685436487197876,0.9777635335922241,5264,0.267822265625,0.2,0.006944901295355521,-0.0323297344148159,0.0004092704424510632,1258.0,-2.7051689600000004
169472,37,10,1845,-43.072792172431946,-0.010864958763704635,0.0091157975,0.7241998910903931,0.9785621166229248,5280,0.0335693359375,0.2,0.701765090925619,0.029788682237267494,0.0004092704424510632,1258.0,-2.7051689600000004
169984,38,10,1845,-43.07121527194977,-0.025337692350149155,0.021005182,-1.7756240367889404,0.9774788618087769,5296,0.2425537109375,0.2,0.008906032890081406,-0.024352308362722397,0.0004092704424510632,1258.0,-2.7048213500000005
