time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
1235,118272,34,84,0.0004092704424510632,0.283203125,0.013639849930768833,0.2,0.9942920207977295,-43.68549132347107,-0.02542371409072075,0.022830203,-0.03630439564585686,-1.6966185569763184,3680,-2.291782234042553,1257.0
1235,118784,35,85,0.0004092704424510632,0.063720703125,0.3615229872521013,0.2,0.9937120676040649,-43.666263580322266,-0.009941692907887045,0.01181804,0.03526219725608826,0.4951188564300537,3696,-2.291782234042553,1257.0
1235,119296,35,86,0.0004092704424510632,0.2647705078125,0.01595654242555611,0.2,0.9944806694984436,-43.66390252113342,-0.026245308530633338,0.01908388,-0.02814251370728016,0.3457348942756653,3712,-2.291782234042553,1257.0
1234,119808,36,87,0.0004092704424510632,0.2142333984375,0.3168424693867564,0.2,0.993378758430481,-43.65760886669159,-0.01934371711104177,0.021997873,0.09594555199146271,0.3749809265136719,3728,-2.29105307368421,1257.0
1234,120320,36,88,0.0004092704424510632,0.1298828125,0.17294300813227892,0.2,0.9934073686599731,-43.63579249382019,-0.02106777366134338,0.020754345,0.00674370676279068,0.9018420577049255,3744,-2.29105307368421,1257.0
1234,120832,36,89,0.0004092704424510632,0.240966796875,0.04300308204255998,0.2,0.9930281043052673,-43.63336193561554,-0.024913842644309625,0.022528574,-0.019757764413952827,-1.4644927978515625,3760,-2.291888010416667,1257.0
1234,121344,37,90,0.0004092704424510632,0.055419921875,0.3941286411136389,0.2,0.9926379919052124,-43.61536884307861,-0.012782455058186315,0.013242151,0.064986452460289,0.8215645551681519,3776,-2.291888010416667,1257.0
1234,121856,37,91,0.0004092704424510632,0.2342529296875,0.03587868809700012,0.2,0.9924414753913879,-43.606133460998535,-0.021498866146430373,0.017812174,-0.024545062333345413,0.10381865501403809,3792,-2.291888010416667,1257.0
1234,122368,38,92,0.0004092704424510632,0.1231689453125,0.4238181887194514,0.2,0.9920129179954529,-43.59311485290527,-0.01641527481842786,0.014577685,0.1911512315273285,0.6841634511947632,3808,-2.290832175257732,1257.0
1234,122880,38,93,0.0004092704424510632,0.1888427734375,0.06934440310578793,0.2,0.9911701679229736,-43.57303428649902,-0.01604155235690996,0.022113424,-0.005919061601161957,0.9569202661514282,3824,-2.290832175257732,1257.0
1233,123392,39,94,0.0004092704424510632,0.197265625,0.10632179630920291,0.2,0.9925022721290588,-43.5688853263855,-0.01961987706454238,0.01564964,0.010815780609846115,-1.6304717063903809,3840,-2.2901181836734694,1257.0
1233,123904,39,95,0.0004092704424510632,0.1033935546875,0.33747716108337045,0.2,0.9930996298789978,-43.60231947898865,-0.017201500668306835,0.012183622,0.08305948972702026,0.8687038421630859,3856,-2.2901181836734694,1257.0
1233,124416,39,96,0.0004092704424510632,0.273681640625,0.06806242954917252,0.2,0.9914760589599609,-43.58421766757965,-0.02723664720542729,0.020643272,-0.005577169358730316,0.4282863140106201,3872,-2.2901181836734694,1257.0
1233,124928,40,97,0.0004092704424510632,0.156005859375,0.5581841794773936,0.2,0.9908093810081482,-43.54041588306427,-0.015665621860534884,0.014511573,0.22009730339050293,0.8427264094352722,3888,-2.2882513535353537,1257.0
