time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/std,train/policy_gradient_loss,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
1858,109,30,131072,0.2557373046875,0.9417600035667419,-0.023129978886572644,0.021924008,-0.03474707901477814,0.009498729472397827,-41.94208574295044,0.0004092704424510632,0.2,0.0007215142250061035,4080,1258.0,-3.1200883999999998
1857,110,30,131584,0.232666015625,0.9409915804862976,-0.02318702804768691,0.017986588,0.17196153104305267,0.4127047639340162,-41.937527894973755,0.0004092704424510632,0.2,2.9385089874267578e-05,4096,1258.0,-3.1200883999999998
1855,111,30,132096,0.22314453125,0.9406725764274597,-0.018985319387866184,0.018281326,-0.014070946723222733,0.009910919077810831,-41.91673791408539,0.0004092704424510632,0.2,0.00018298625946044922,4112,1258.0,-3.1154689099999997
1854,112,30,132608,0.2188720703125,0.9409420490264893,-0.023550567857455462,0.018250853,0.118277408182621,0.38922605384141207,-41.91468119621277,0.0004092704424510632,0.2,2.1159648895263672e-05,4128,1258.0,-3.1154689099999997
1853,113,31,133120,0.223876953125,0.9415357708930969,-0.022495197190437466,0.018345976,-0.03660409525036812,0.003686291223857552,-41.92800974845886,0.0004092704424510632,0.2,-7.3909759521484375e-06,4144,1258.0,-3.1154689099999997
1852,114,31,133632,0.256103515625,0.9429047107696533,-0.023815897933673114,0.028910287,-0.03384874016046524,0.007772116761771031,-41.96279680728912,0.0004092704424510632,0.2,4.017353057861328e-05,4160,1258.0,-3.1104982099999994
1852,115,31,134144,0.2520751953125,0.9422069787979126,-0.02742556674638763,0.024513125,0.15671440958976746,0.39680099580436945,-41.976688623428345,0.0004092704424510632,0.2,4.410743713378906e-06,4176,1258.0,-3.1104982099999994
1850,116,32,134656,0.2347412109375,0.943682074546814,-0.01974482525838539,0.024194114,-0.02255549095571041,0.010639019863447174,-41.970672726631165,0.0004092704424510632,0.2,0.0004851818084716797,4192,1258.0,-3.1078658100000003
1850,117,32,135168,0.264892578125,0.9436445832252502,-0.026777713806950487,0.022352643,0.13624313473701477,0.3827758589759469,-42.00865828990936,0.0004092704424510632,0.2,1.1205673217773438e-05,4208,1258.0,-3.1078658100000003
1849,118,32,135680,0.250244140625,0.9439578652381897,-0.02536799148947466,0.020345401,-0.027803992852568626,0.012340195695287548,-42.00563025474548,0.0004092704424510632,0.2,1.1920928955078125e-07,4224,1258.0,-3.1078658100000003
1848,119,32,136192,0.232666015625,0.9434274435043335,-0.023750262655084953,0.01707506,-0.04630271717905998,0.002312437463842798,-42.017799496650696,0.0004092704424510632,0.2,-2.7418136596679688e-06,4240,1258.0,-3.10784444
1847,120,33,136704,0.2672119140625,0.9425637125968933,-0.02983756610774435,0.025109464,0.1673443764448166,0.4012982500717044,-41.9912474155426,0.0004092704424510632,0.2,-3.5762786865234375e-07,4256,1258.0,-3.10784444
1846,121,33,137216,0.2528076171875,0.9449189901351929,-0.02595857743290253,0.019341663,-0.02491062693297863,0.01125734590459615,-42.0002361536026,0.0004092704424510632,0.2,1.537799835205078e-05,4272,1258.0,-3.10748032
1845,122,33,137728,0.316650390625,0.9443097710609436,-0.033299218892352656,0.029138466,0.11846199631690979,0.37416478991508484,-42.052173495292664,0.0004092704424510632,0.2,1.3709068298339844e-06,4288,1258.0,-3.10748032
1844,123,34,138240,0.3326416015625,0.944683849811554,-0.02965107941417955,0.033917557,-0.037661612033843994,0.009136002481682226,-42.02383744716644,0.0004092704424510632,0.2,9.417533874511719e-06,4304,1258.0,-3.10748032
1843,124,34,138752,0.2327880859375,0.9443218111991882,-0.024633772438392043,0.019715846,-0.030810818076133728,0.003286734237917699,-42.034974217414856,0.0004092704424510632,0.2,-5.960464477539062e-07,4320,1258.0,-3.10396006
1842,125,34,139264,0.2667236328125,0.9449856877326965,-0.025817476271186024,0.022702575,0.1561274230480194,0.3812328977510333,-42.0325562953949,0.0004092704424510632,0.2,2.384185791015625e-07,4336,1258.0,-3.10396006
1842,126,35,139776,0.312255859375,0.9455661177635193,-0.026966146018821746,0.04049331,-0.03734298050403595,0.011388162994990125,-42.05560660362244,0.0004092704424510632,0.2,2.2232532501220703e-05,4352,1258.0,-3.10146852
1841,127,35,140288,0.27392578125,0.9459275007247925,-0.02966551954159513,0.027073633,0.171269953250885,0.36925443820655346,-42.06808090209961,0.0004092704424510632,0.2,3.4570693969726562e-06,4368,1258.0,-3.10146852
1840,128,35,140800,0.3006591796875,0.9475818872451782,-0.02961796458112076,0.019105911,-0.035182930529117584,0.012365888163913041,-42.092166900634766,0.0004092704424510632,0.2,2.8371810913085938e-05,4384,1258.0,-3.10146852
1839,129,35,141312,0.20068359375,0.948053777217865,-0.020471133044338785,0.013760366,-0.025221262127161026,0.004691780930443201,-42.12962317466736,0.0004092704424510632,0.2,1.0311603546142578e-05,4400,1258.0,-3.09986342
1838,130,36,141824,0.2315673828125,0.9475154876708984,-0.023348142858594656,0.023683853,0.14762280881404877,0.3750726035796106,-42.123820424079895,0.0004092704424510632,0.2,2.2649765014648438e-06,4416,1258.0,-3.09986342
1838,131,36,142336,0.24658203125,0.9482950568199158,-0.026207372968201526,0.019682284,-0.03140099346637726,0.013118598028086126,-42.117528796195984,0.0004092704424510632,0.2,0.001286149024963379,4432,1258.0,-3.097222250000001
1837,132,36,142848,0.24462890625,0.9475045800209045,-0.027890797588042915,0.024110721,0.1206609308719635,0.3650420168414712,-42.125515818595886,0.0004092704424510632,0.2,6.556510925292969e-07,4448,1258.0,-3.097222250000001
1837,133,37,143360,0.25732421875,0.9489538073539734,-0.02532628661720082,0.019380316,-0.03788814693689346,0.011511432909173891,-42.11212909221649,0.0004092704424510632,0.2,1.7285346984863281e-06,4464,1258.0,-3.097222250000001
1836,134,37,143872,0.2540283203125,0.9496933221817017,-0.02830582689784933,0.020972721,-0.03392689675092697,0.00462814968341263,-42.16009259223938,0.0004092704424510632,0.2,-2.384185791015625e-07,4480,1258.0,-3.096353880000001
1835,135,37,144384,0.2415771484375,0.9464591145515442,-0.024351683896384202,0.022332216,0.13294464349746704,0.36338132806122303,-42.12635791301727,0.0004092704424510632,0.2,0.0,4496,1258.0,-3.096353880000001
1835,136,37,144896,0.284912109375,0.944789469242096,-0.02521719119977206,0.026770957,-0.04068552702665329,0.0070480419672094285,-42.02325081825256,0.0004092704424510632,0.2,5.662441253662109e-06,4512,1258.0,-3.0927344000000003
1834,137,38,145408,0.170166015625,0.9445685148239136,-0.015980273339664564,0.015144497,0.12010683864355087,0.38376676570624113,-41.99082088470459,0.0004092704424510632,0.2,1.7881393432617188e-07,4528,1258.0,-3.0927344000000003
1833,138,38,145920,0.275634765625,0.9448248744010925,-0.027321235655108467,0.01982313,-0.033721767365932465,0.010096645273733884,-41.995481967926025,0.0004092704424510632,0.2,4.5299530029296875e-06,4544,1258.0,-3.0927344000000003
1833,139,38,146432,0.203369140625,0.943270206451416,-0.02386008619214408,0.016339075,-0.03199245408177376,0.004575850653054658,-41.98513889312744,0.0004092704424510632,0.2,2.980232238769531e-07,4560,1258.0,-3.0912930899999997
1832,140,39,146944,0.21728515625,0.9422972798347473,-0.019740988718695007,0.02005899,0.03285137563943863,0.13010925659909844,-41.941882371902466,0.0004092704424510632,0.2,0.0,4576,1258.0,-3.0912930899999997
