time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
54784,107,1640,33,0.064208984375,-43.83424234390259,-0.00976721997722052,0.0004092704424510632,0.011842579,1696,0.7217164875473827,0.9975476264953613,0.2,0.04233279079198837,0.08809393644332886,-2.7220150232558136,1258.0
55296,108,1641,33,0.2181396484375,-43.833266854286194,-0.019646906293928623,0.0004092704424510632,0.015923316,1712,0.003275089278758969,0.9977794289588928,0.2,-0.023646682500839233,-3.8833813667297363,-2.7220150232558136,1258.0
55808,109,1643,33,0.2613525390625,-43.824889063835144,-0.020624602359021083,0.0004092704424510632,0.020135535,1728,0.011630486842477694,0.9974861145019531,0.2,-0.028469078242778778,0.22422677278518677,-2.7191492499999996,1258.0
56320,110,1643,34,0.10302734375,-43.82868850231171,-0.015375131639302708,0.0004092704424510632,0.019244144,1744,0.3430093980859965,0.9975631833076477,0.2,0.016730353236198425,0.5111944675445557,-2.7191492499999996,1258.0
56832,111,1645,34,0.2733154296875,-43.81995344161987,-0.025402370360097848,0.0004092704424510632,0.022424739,1760,0.0625194888561964,0.9972008466720581,0.2,0.005945567041635513,0.13249355554580688,-2.7132136888888887,1258.0
57344,112,1645,34,0.0474853515625,-43.80910575389862,-0.00949115642288234,0.0004092704424510632,0.013300525,1776,0.44521659379824996,0.9970430135726929,0.2,0.09312239289283752,0.8017212152481079,-2.7132136888888887,1258.0
57856,113,1647,35,0.2037353515625,-43.7876832485199,-0.0194101969973417,0.0004092704424510632,0.01400226,1792,0.009570387977873906,0.995614767074585,0.2,-0.025353683158755302,-6.4204630851745605,-2.7132136888888887,1258.0
58368,114,1648,35,0.2147216796875,-43.748220801353455,-0.02642714761896059,0.0004092704424510632,0.018595286,1808,0.11002841859590262,0.9957155585289001,0.2,-0.017462706193327904,0.5067847967147827,-2.710037260869565,1258.0
58880,115,1649,35,0.302490234375,-43.75698506832123,-0.0227778195112478,0.0004092704424510632,0.04015463,1824,0.2976441573118791,0.9960352182388306,0.2,0.009438037872314453,0.6142319440841675,-2.710037260869565,1258.0
59392,116,1650,35,0.2723388671875,-43.78147089481354,-0.02544548100559041,0.0004092704424510632,0.021606697,1840,0.017974125512409955,0.9976942539215088,0.2,-0.03112718090415001,-0.10006189346313477,-2.7101905957446806,1258.0
59904,117,1651,36,0.0660400390625,-43.825705766677856,-0.012847101970692165,0.0004092704424510632,0.011774344,1856,0.499714438803494,0.9982683658599854,0.2,0.19701731204986572,0.5635268688201904,-2.7101905957446806,1258.0
60416,118,1652,36,0.2696533203125,-43.816503047943115,-0.025212825392372906,0.0004092704424510632,0.020686317,1872,0.0025383567153767217,0.9969707727432251,0.2,-0.046450644731521606,-1.124983787536621,-2.7052766874999996,1258.0
60928,119,1653,36,0.083740234375,-43.77711772918701,-0.01001074057421647,0.0004092704424510632,0.007987736,1888,0.7067283224314451,0.9964866042137146,0.2,0.06059267371892929,0.57008296251297,-2.7052766874999996,1258.0
61440,120,1654,37,0.2451171875,-43.7639445066452,-0.022447772120358422,0.0004092704424510632,0.020448215,1904,0.00417310214106692,0.9958283305168152,0.2,-0.038644444197416306,-4.360156536102295,-2.7052766874999996,1258.0
