time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
50176,1927,26,98,0.247314453125,0.9857663512229919,-0.041416388005018234,-43.42209041118622,-0.027638639614451677,0.00374985068992828,-3.230571746826172e-05,0.026424456,0.2,1552,0.0004092704424510632,-2.684812230769231,1258.0
50688,1928,26,99,0.253662109375,0.9860205054283142,-0.030723392963409424,-43.43904399871826,-0.02357316468260251,0.014046880969544873,0.00016516447067260742,0.021801872,0.2,1568,0.0004092704424510632,-2.68647025,1258.0
51200,1928,26,100,0.2071533203125,0.9866236448287964,0.10595656931400299,-43.45363926887512,-0.024624926067190245,0.27940913289785385,2.5570392608642578e-05,0.017785186,0.2,1584,0.0004092704424510632,-2.68647025,1258.0
51712,1928,26,101,0.23828125,0.9866145849227905,-0.015154533088207245,-43.474469780921936,-0.024637632188387215,0.0189344716782216,0.0002003312110900879,0.023042666,0.2,1600,0.0004092704424510632,-2.6912655853658536,1258.0
52224,1928,27,102,0.2381591796875,0.9865347146987915,0.08986969292163849,-43.473127245903015,-0.025953047166694887,0.2760889930650592,1.0251998901367188e-05,0.020096466,0.2,1616,0.0004092704424510632,-2.6912655853658536,1258.0
52736,1928,27,103,0.2158203125,0.9879826903343201,-0.01871834509074688,-43.491097807884216,-0.02720120208687149,0.004264256866008509,-1.1205673217773438e-05,0.016434764,0.2,1632,0.0004092704424510632,-2.6912655853658536,1258.0
53248,1928,27,104,0.2181396484375,0.9889113306999207,-0.03545847535133362,-43.54304647445679,-0.02072127937572077,0.01220619841478765,0.0002173781394958496,0.017123815,0.2,1648,0.0004092704424510632,-2.6886521666666665,1258.0
53760,1929,27,105,0.2489013671875,0.9878951907157898,0.11070872098207474,-43.53312861919403,-0.026918567629763857,0.2952639013528824,2.956390380859375e-05,0.021759491,0.2,1664,0.0004092704424510632,-2.6886521666666665,1258.0
54272,1929,28,106,0.2454833984375,0.9887363314628601,-0.02563626691699028,-43.50969111919403,-0.02278818104241509,0.01488077754038386,0.0007112026214599609,0.020287711,0.2,1680,0.0004092704424510632,-2.6893722325581395,1258.0
54784,1929,28,107,0.18212890625,0.9883697628974915,0.12173950672149658,-43.53074514865875,-0.015929672779748216,0.2760916333645582,3.725290298461914e-05,0.015980877,0.2,1696,0.0004092704424510632,-2.6893722325581395,1258.0
55296,1928,28,108,0.269287109375,0.9884297847747803,-0.04706750065088272,-43.51754605770111,-0.032480393289006315,0.004911456955596805,-1.2993812561035156e-05,0.020888336,0.2,1712,0.0004092704424510632,-2.6893722325581395,1258.0
55808,1928,28,109,0.2734375,0.9873993992805481,-0.036480557173490524,-43.51098644733429,-0.026340186595916748,0.01096983440220356,0.00028061866760253906,0.026432026,0.2,1728,0.0004092704424510632,-2.6901846590909093,1258.0
56320,1927,29,110,0.275390625,0.9884777665138245,0.1159614771604538,-43.506716132164,-0.02685163906426169,0.29286450427025557,2.664327621459961e-05,0.023218272,0.2,1744,0.0004092704424510632,-2.6901846590909093,1258.0
56832,1927,29,111,0.269287109375,0.9892677068710327,-0.023950863629579544,-43.54822361469269,-0.024321008022525348,0.01372846047161147,0.0003059506416320801,0.021570433,0.2,1760,0.0004092704424510632,-2.688397177777778,1258.0
57344,1927,29,112,0.2569580078125,0.989168107509613,0.07792754471302032,-43.55676198005676,-0.028424058429664,0.2954405341297388,3.2901763916015625e-05,0.023046076,0.2,1776,0.0004092704424510632,-2.688397177777778,1258.0
57856,1928,30,113,0.236328125,0.9887690544128418,-0.03620457649230957,-43.5514976978302,-0.026675465414882638,0.004808171710465103,-5.424022674560547e-05,0.019721482,0.2,1792,0.0004092704424510632,-2.688397177777778,1258.0
