time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
71680,1218,58,140,0.0004092704424510632,-0.02300265885423869,0.2,-43.23017466068268,0.0045125350552552845,0.015860472,0.2200927734375,-7.809103965759277,0.9795467257499695,-0.0428236722946167,2224,-2.115677267857143,1258.0
72192,1218,59,141,0.0004092704424510632,-0.025491005391813815,0.2,-43.25047028064728,0.08211554796434939,0.020145811,0.21728515625,0.6559232473373413,0.9797267317771912,0.011891711503267288,2240,-2.1204214561403507,1258.0
72704,1218,59,142,0.0004092704424510632,-0.024827933506458066,0.2,-43.23555123806,0.09817117993952706,0.0274022,0.2646484375,0.8564375042915344,0.9785128235816956,-0.029776180163025856,2256,-2.1204214561403507,1258.0
73216,1218,60,143,0.0004092704424510632,-0.03029921479173936,0.2,-43.19044518470764,0.0047936789924278855,0.019027267,0.28076171875,-0.5873764753341675,0.9773650169372559,-0.04269329458475113,2272,-2.1185323103448277,1258.0
73728,1218,60,144,0.0004092704424510632,-0.010947053517156746,0.2,-43.17305898666382,0.338404290843755,0.013861326,0.06396484375,0.6125642657279968,0.9775245785713196,0.027913179248571396,2288,-2.1185323103448277,1258.0
74240,1218,60,145,0.0004092704424510632,-0.018133563542505726,0.2,-43.21462619304657,0.0030269674316514283,0.018789494,0.2222900390625,-2.744980812072754,0.9798614978790283,-0.014420284889638424,2304,-2.1164117966101696,1258.0
74752,1218,61,146,0.0004092704424510632,-0.017713118068058975,0.2,-43.2674320936203,0.4861098730470985,0.01660223,0.0889892578125,0.20585757493972778,0.9803911447525024,0.00898798555135727,2320,-2.1164117966101696,1258.0
75264,1218,61,147,0.0004092704424510632,-0.022647690610028803,0.2,-43.30610167980194,0.0022024008649168536,0.014343708,0.232177734375,-1.1970326900482178,0.9832035303115845,-0.04115206003189087,2336,-2.1164117966101696,1258.0
75776,3889,0,1,0.0004092704424510632,-0.025513674307148904,0.2,-43.37843942642212,0.005947543162619695,0.017067634,0.2427978515625,0.010262668132781982,0.9839465618133545,-0.03194385766983032,2352,-2.1160843333333332,1258.0
76288,1856,0,2,0.0004092704424510632,-0.017428821738576517,0.2,-43.38983488082886,0.4499053144827485,0.015957214,0.0977783203125,0.22975075244903564,0.9843237996101379,0.012839186936616898,2368,-2.1160843333333332,1258.0
76800,1581,0,3,0.0004092704424510632,-0.033203800703631714,0.2,-43.40338909626007,0.005272691952995956,0.018847244,0.29248046875,-0.09528136253356934,0.9846729636192322,-0.044960230588912964,2384,-2.1155147704918034,1258.0
77312,1473,1,4,0.0004092704424510632,-0.010173492861213163,0.2,-43.40136933326721,0.5821788371540606,0.009050977,0.04833984375,0.43208402395248413,0.9843464493751526,0.022699808701872826,2400,-2.1155147704918034,1258.0
77824,1411,1,5,0.0004092704424510632,-0.02779654404730536,0.2,-43.37853181362152,0.006512228970677825,0.023136081,0.3017578125,-3.1418590545654297,0.9829673767089844,-0.041269294917583466,2416,-2.1155147704918034,1258.0
78336,1375,2,6,0.0004092704424510632,-0.026139918598346412,0.2,-43.34090721607208,0.005084105498099234,0.013664998,0.22802734375,0.032535552978515625,0.9826395511627197,-0.023786533623933792,2432,-2.1123793387096774,1258.0
78848,1353,2,7,0.0004092704424510632,-0.008969340691692196,0.2,-43.33720827102661,0.3821574638132006,0.012219565,0.051513671875,0.5411679744720459,0.9825753569602966,0.02997124195098877,2448,-2.1123793387096774,1258.0
79360,1335,3,8,0.0004092704424510632,-0.02167408959940076,0.2,-43.347740650177,0.005619817464321386,0.014600486,0.2259521484375,-2.0417356491088867,0.9838752746582031,-0.029982972890138626,2464,-2.1136300952380958,1258.0
79872,1319,3,9,0.0004092704424510632,-0.009327722189482301,0.2,-43.37555384635925,0.6602052892558277,0.010538403,0.049560546875,0.24410009384155273,0.9842026233673096,0.05625440925359726,2480,-2.1136300952380958,1258.0
80384,1310,3,10,0.0004092704424510632,-0.03009330661734566,0.2,-43.356552600860596,0.004473488668736536,0.023655929,0.2745361328125,-0.6883214712142944,0.9825406670570374,-0.04525347426533699,2496,-2.1136300952380958,1258.0
80896,1303,4,11,0.0004092704424510632,-0.028908908483572304,0.2,-43.30204093456268,0.003785947985306848,0.018299377,0.250244140625,0.146190345287323,0.9810779094696045,-0.04390471801161766,2512,-2.112823421875,1258.0
81408,1297,4,12,0.0004092704424510632,-0.008084643486654386,0.2,-43.26659822463989,0.4025103310123086,0.01139294,0.04345703125,0.628354012966156,0.9806209206581116,0.021328605711460114,2528,-2.112823421875,1258.0
81920,1290,5,13,0.0004092704424510632,-0.02243562537478283,0.2,-43.243807554244995,0.005507687958015595,0.014756612,0.2078857421875,-1.716590404510498,0.9793207049369812,-0.03094452992081642,2544,-2.1129824923076925,1258.0
82432,1285,5,14,0.0004092704424510632,-0.012878441732027568,0.2,-43.20951175689697,0.482265034224838,0.011525445,0.0579833984375,0.7055494785308838,0.9787537455558777,0.07147397100925446,2560,-2.1129824923076925,1258.0
82944,1280,5,15,0.0004092704424510632,-0.023996092058951035,0.2,-43.204532623291016,0.003981316662247991,0.022119652,0.26708984375,-6.030613422393799,0.9790140986442566,-0.0305887833237648,2576,-2.1129824923076925,1258.0
83456,1276,6,16,0.0004092704424510632,-0.029037507811153773,0.2,-43.189632415771484,0.003483173786662519,0.028634045,0.309326171875,0.09027278423309326,0.9773706197738647,-0.04172458127140999,2592,-2.1144723636363634,1258.0
83968,1273,6,17,0.0004092704424510632,-0.014489064458757639,0.2,-43.1402233839035,0.4225976357702166,0.0139909275,0.1038818359375,0.288759708404541,0.9768527150154114,0.026473402976989746,2608,-2.1144723636363634,1258.0
84480,1269,7,18,0.0004092704424510632,-0.026506861933739856,0.2,-43.139177680015564,0.004933446762152016,0.022628635,0.272216796875,-0.5132040977478027,0.9768685102462769,-0.029391281306743622,2624,-2.117798805970149,1258.0
84992,1266,7,19,0.0004092704424510632,-0.008730164321605116,0.2,-43.132808804512024,0.49180644657462835,0.009635919,0.056396484375,0.48705023527145386,0.9767897129058838,0.027070757001638412,2640,-2.117798805970149,1258.0
85504,1262,8,20,0.0004092704424510632,-0.02730172497103922,0.2,-43.11654710769653,0.0027506936239660718,0.022061173,0.2833251953125,-2.379868745803833,0.975745439529419,-0.05382019281387329,2656,-2.117798805970149,1258.0
