time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/std,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
253952,21,55,1313,0.217529296875,-0.02578039199579507,0.016014688,0.2,-0.03286169469356537,-39.49830949306488,0.005021203767682891,-5.364418029785156e-06,0.0004092704424510632,0.876836359500885,7920,-2.0916153499999997,1257.0
254464,21,56,1312,0.232421875,-0.02296688461501617,0.022798445,0.2,0.04220022261142731,-39.51505362987518,0.15885396860539913,1.0728836059570312e-06,0.0004092704424510632,0.8775463700294495,7936,-2.0916153499999997,1257.0
254976,22,57,1312,0.2237548828125,-0.021904055000049993,0.017676014,0.2,-0.01940879411995411,-39.52766931056976,0.0027800598545582034,-4.076957702636719e-05,0.0004092704424510632,0.8770706653594971,7952,-2.0916153499999997,1257.0
255488,22,58,1312,0.1646728515625,-0.01904138090321794,0.012422427,0.2,-0.019076896831393242,-39.52924180030823,0.0029291032551554963,5.9604644775390625e-06,0.0004092704424510632,0.8782886266708374,7968,-2.0908390999999997,1257.0
256000,23,59,1311,0.2882080078125,-0.029190073197241873,0.02436534,0.2,0.028601109981536865,-39.58418846130371,0.15780564188025892,3.6954879760742188e-06,0.0004092704424510632,0.8796509504318237,7984,-2.0908390999999997,1257.0
256512,23,60,1311,0.2584228515625,-0.026498390710912645,0.016719034,0.2,-0.04117584601044655,-39.620129227638245,0.004260933928890154,-5.245208740234375e-06,0.0004092704424510632,0.8797155618667603,8000,-2.08751901,1257.0
257024,23,61,1311,0.2423095703125,-0.02372270217165351,0.017961565,0.2,0.04129441827535629,-39.601739168167114,0.15440744371153414,1.1920928955078125e-06,0.0004092704424510632,0.8784406781196594,8016,-2.08751901,1257.0
257536,24,62,1310,0.2430419921875,-0.02444628374360036,0.018238131,0.2,-0.04046107083559036,-39.56978678703308,0.00253578798219678,-7.069110870361328e-05,0.0004092704424510632,0.8789557814598083,8032,-2.08751901,1257.0
258048,24,63,1310,0.244873046875,-0.027260076050879434,0.0210793,0.2,-0.048611368983983994,-39.60305178165436,0.0024529723632440437,2.562999725341797e-06,0.0004092704424510632,0.8801437020301819,8048,-2.08608312,1257.0
258560,24,64,1310,0.2235107421875,-0.026679697111831047,0.016183127,0.2,0.03530893474817276,-39.616737484931946,0.15133818238973618,5.662441253662109e-06,0.0004092704424510632,0.8794441819190979,8064,-2.08608312,1257.0
