time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/std,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
29184,1263,23,57,-44.02659595012665,0.043774032907094806,-0.031248925253748894,-0.028879178542410955,896,0.0004092704424510632,0.2,-1.851588487625122,0.273193359375,1.0030183792114258,0.016860452,-2.706166304347826,1258.0
29696,1263,23,58,-44.037705421447754,0.1623216182924807,0.007250353693962097,-0.0248426582547836,912,0.0004092704424510632,0.2,0.26931238174438477,0.2144775390625,1.003021478652954,0.017371945,-2.706166304347826,1258.0
30208,1263,23,59,-44.04972422122955,0.00848740585934138,-0.03464086353778839,-0.02724393259268254,928,0.0004092704424510632,0.2,-9.054936408996582,0.244140625,1.004008173942566,0.017632436,-2.703498208333333,1258.0
30720,1263,24,60,-44.05489146709442,0.24831603630445898,0.030974440276622772,-0.019927258050302044,944,0.0004092704424510632,0.2,0.12510526180267334,0.1904296875,1.003170371055603,0.017948832,-2.703498208333333,1258.0
31232,1263,24,61,-44.04717421531677,0.002982328944199253,-0.03720322623848915,-0.021414928953163326,960,0.0004092704424510632,0.2,-1.9167046546936035,0.2327880859375,1.0040090084075928,0.018643938,-2.703498208333333,1258.0
31744,1262,25,62,-44.07270169258118,0.012090507545508444,-0.030219411477446556,-0.024524482010747306,976,0.0004092704424510632,0.2,0.023633599281311035,0.276611328125,1.0044870376586914,0.022645392,-2.7062244799999995,1258.0
32256,1263,25,63,-44.08994460105896,0.2618967881426215,0.032175350934267044,-0.021027448965469375,992,0.0004092704424510632,0.2,0.06259793043136597,0.2127685546875,1.0052903890609741,0.018746046,-2.7062244799999995,1258.0
32768,1262,25,64,-44.09107732772827,0.039414252096321434,-0.0159851536154747,-0.021187159058172256,1008,0.0004092704424510632,0.2,-0.5319916009902954,0.2161865234375,1.0039329528808594,0.013838405,-2.7160680769230767,1258.0
33280,1262,26,65,-44.04765522480011,0.28993994276970625,0.05891072377562523,-0.018991739605553448,1024,0.0004092704424510632,0.2,0.4838266968727112,0.151123046875,1.0031397342681885,0.017002461,-2.7160680769230767,1258.0
33792,1262,26,66,-44.04738140106201,0.008547666533559095,-0.02006595768034458,-0.019760822295211256,1040,0.0004092704424510632,0.2,-9.44818115234375,0.2261962890625,1.0040175914764404,0.017999632,-2.7160680769230767,1258.0
