time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
39936,32,1222,78,0.2,0.02477267,0.004367876797914505,0.2655029296875,-43.38441848754883,1232,0.0004092704424510632,0.9833168983459473,-0.02403809892712161,0.13054350554011762,0.008477568626403809,1257.0,-2.4127937419354843
40448,33,1222,79,0.2,0.016506907,-0.03428664803504944,0.209228515625,-43.38409471511841,1248,0.0004092704424510632,0.9833163022994995,-0.0262383596636937,0.00746698553848546,-4.408767223358154,1257.0,-2.41244553125
40960,33,1222,80,0.2,0.021546202,-0.0022241808474063873,0.228759765625,-43.37881565093994,1264,0.0004092704424510632,0.9832581877708435,-0.021616342797642574,0.10273831652011722,0.024286925792694092,1257.0,-2.41244553125
41472,33,1222,81,0.2,0.015594367,-0.029305795207619667,0.198486328125,-43.36506998538971,1280,0.0004092704424510632,0.9826149344444275,-0.022203978238394484,0.004165301179455128,-1.2193608283996582,1257.0,-2.41244553125
41984,34,1221,82,0.2,0.010818234,-0.028818057850003242,0.1368408203125,-43.35384237766266,1296,0.0004092704424510632,0.9827796220779419,-0.017214615407283418,0.0018641855986061273,0.004960954189300537,1257.0,-2.4113993333333332
42496,34,1221,83,0.2,0.032414496,0.010732248425483704,0.3109130859375,-43.338924407958984,1312,0.0004092704424510632,0.9817025065422058,-0.022185747351613827,0.07079251040704548,0.0006341338157653809,1257.0,-2.4113993333333332
43008,35,1221,84,0.2,0.020877022,-0.03816840052604675,0.2352294921875,-43.31336283683777,1328,0.0004092704424510632,0.9813035726547241,-0.02667853121238295,0.0031730202899780124,-0.0001666545867919922,1257.0,-2.409691911764706
43520,35,1221,85,0.2,0.020190308,0.051659662276506424,0.2364501953125,-43.28803241252899,1344,0.0004092704424510632,0.9800503849983215,-0.02904532736283727,0.20115694776177406,0.0010620355606079102,1257.0,-2.409691911764706
44032,36,1221,86,0.2,0.02039777,-0.03334097936749458,0.235107421875,-43.24914538860321,1360,0.0004092704424510632,0.97932368516922,-0.026718224660726264,0.004975974035914987,-0.0003930330276489258,1257.0,-2.410399857142857
44544,36,1221,87,0.2,0.027254768,0.018680911511182785,0.2275390625,-43.23387014865875,1376,0.0004092704424510632,0.9789865016937256,-0.02214285907393787,0.16707446658983827,0.006453037261962891,1257.0,-2.410399857142857
45056,36,1221,88,0.2,0.016253496,-0.034695032984018326,0.207275390625,-43.253695607185364,1392,0.0004092704424510632,0.9815579056739807,-0.024281817393784877,0.0034498040477046743,-3.1905980110168457,1257.0,-2.410399857142857
45568,37,1221,89,0.2,0.018178111,-0.03542398661375046,0.267578125,-43.315213322639465,1408,0.0004092704424510632,0.9814998507499695,-0.02991289456258528,0.0030971325213613454,0.0003911256790161133,1257.0,-2.4119114444444443
46080,37,1221,90,0.2,0.014508013,0.09654177725315094,0.1871337890625,-43.28130388259888,1424,0.0004092704424510632,0.9801240563392639,-0.02076377102639526,0.2305481289513409,0.00014901161193847656,1257.0,-2.4119114444444443
46592,38,1221,91,0.2,0.02094286,-0.02711278572678566,0.2581787109375,-43.23856806755066,1440,0.0004092704424510632,0.9792617559432983,-0.026627744096913375,0.0050490790454205126,1.2874603271484375e-05,1257.0,-2.4096397567567567
47104,38,1221,92,0.2,0.018493783,0.08475536108016968,0.235595703125,-43.22156119346619,1456,0.0004092704424510632,0.9786837100982666,-0.024706870346562937,0.22450733045116067,0.0001417398452758789,1257.0,-2.4096397567567567
47616,38,1221,93,0.2,0.018730003,-0.034808557480573654,0.239501953125,-43.21817421913147,1472,0.0004092704424510632,0.9799908399581909,-0.023633714503375813,0.0022209962917258963,-0.0005158185958862305,1257.0,-2.4096397567567567
48128,39,1221,94,0.2,0.017566105,-0.039046626538038254,0.2366943359375,-43.25148105621338,1488,0.0004092704424510632,0.9803562760353088,-0.02812693546002265,0.0028388539612933528,0.0007162690162658691,1257.0,-2.410416447368421
48640,39,1221,95,0.2,0.015680157,0.06522582471370697,0.2568359375,-43.252116680145264,1504,0.0004092704424510632,0.9799624085426331,-0.02740816184086725,0.23098106356337667,0.00020903348922729492,1257.0,-2.410416447368421
49152,40,1221,96,0.2,0.027144019,-0.04971325397491455,0.282470703125,-43.22237730026245,1520,0.0004092704424510632,0.9782534837722778,-0.031929347809636965,0.004151656357862521,7.128715515136719e-05,1257.0,-2.4110171025641027
49664,40,1221,97,0.2,0.020245418,0.07175992429256439,0.249755859375,-43.17021715641022,1536,0.0004092704424510632,0.977220892906189,-0.02763222565408796,0.22161549096927047,0.00022530555725097656,1257.0,-2.4110171025641027
50176,41,1221,98,0.2,0.020992622,-0.04102746397256851,0.22998046875,-43.130248069763184,1552,0.0004092704424510632,0.9747712016105652,-0.027649326919345185,0.0033647723612375557,-0.0003955364227294922,1257.0,-2.4110171025641027
50688,41,1221,99,0.2,0.01726056,-0.03312084451317787,0.2476806640625,-43.058433413505554,1568,0.0004092704424510632,0.9736469388008118,-0.028039321608957835,0.0020844405371462926,0.0003637075424194336,1257.0,-2.411264525
51200,41,1221,100,0.2,0.015671931,0.04621688276529312,0.2064208984375,-43.04799783229828,1584,0.0004092704424510632,0.9742622375488281,-0.02603149216156453,0.22482377011328936,0.0003477931022644043,1257.0,-2.411264525
51712,42,1221,101,0.2,0.013787411,-0.02564983069896698,0.1795654296875,-43.0659453868866,1600,0.0004092704424510632,0.974431574344635,-0.021592151722870767,0.00322521884663729,-0.00036132335662841797,1257.0,-2.4084003902439024
52224,42,1221,102,0.2,0.023129366,0.06943326443433762,0.190673828125,-43.074493646621704,1616,0.0004092704424510632,0.9749693274497986,-0.02326261675625574,0.2143114130012691,0.00042122602462768555,1257.0,-2.4084003902439024
52736,43,1221,103,0.2,0.016077477,-0.020852647721767426,0.2027587890625,-43.07309019565582,1632,0.0004092704424510632,0.9739966988563538,-0.02276566336513497,0.004026395057735499,-0.0008242130279541016,1257.0,-2.4084003902439024
53248,43,1221,104,0.2,0.01342072,-0.02611929178237915,0.2037353515625,-43.01631581783295,1648,0.0004092704424510632,0.9716923236846924,-0.02378799424332101,0.0021996106770529877,0.0013620853424072266,1257.0,-2.408012642857143
53760,44,1221,105,0.2,0.03069693,0.05019529536366463,0.2698974609375,-42.95560002326965,1664,0.0004092704424510632,0.9709712862968445,-0.026677657719119452,0.20571301598101854,0.0008202195167541504,1257.0,-2.408012642857143
54272,44,1221,106,0.2,0.016651772,-0.023830793797969818,0.224365234375,-42.923882484436035,1680,0.0004092704424510632,0.9696732759475708,-0.025074753659282578,0.004109440618776716,0.004399597644805908,1257.0,-2.4057921627906977
54784,44,1220,107,0.2,0.024231661,0.02791053056716919,0.24658203125,-42.87539219856262,1696,0.0004092704424510632,0.9682367444038391,-0.027742668462451547,0.1772715523838997,0.006263852119445801,1257.0,-2.4057921627906977
