time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/clip_range,train/std,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
161792,5,1992,22,0.42924731969833374,0.0004092704424510632,0.06283074617385864,0.0750732421875,0.017636653,-43.154699206352234,0.2,0.9815264344215393,5040,-0.011097749451437267,0.5659565189853311,1258.0,-2.2242330100000003
162304,5,1992,23,-2.8616061210632324,0.0004092704424510632,-0.029340628534555435,0.2730712890625,0.017144164,-43.14615094661713,0.2,0.9820473790168762,5056,-0.024483867920935154,0.006047928043699358,1258.0,-2.22317947
162816,6,1992,24,0.5451822280883789,0.0004092704424510632,0.06431552767753601,0.0511474609375,0.00902522,-43.15391385555267,0.2,0.9819554090499878,5072,-0.005994959043164272,0.758647465147078,1258.0,-2.22317947
163328,6,1992,25,-2.581577777862549,0.0004092704424510632,-0.028557125478982925,0.3045654296875,0.021220127,-43.1198171377182,0.2,0.9799844622612,5088,-0.028403734730090946,0.003949931124225259,1258.0,-2.22317947
163840,6,1992,26,0.010911345481872559,0.0004092704424510632,-0.04166201129555702,0.269287109375,0.021350853,-43.084346294403076,0.2,0.9804993867874146,5104,-0.026914444082649425,0.006317912964732386,1258.0,-2.22143809
164352,6,1987,27,0.5238354802131653,0.0004092704424510632,0.04087187349796295,0.03125,0.0136464555,-43.11317324638367,0.2,0.9810318946838379,5120,-0.007850475303712301,0.627468693535775,1258.0,-2.22143809
164864,7,1985,28,-2.61957049369812,0.0004092704424510632,-0.031482525169849396,0.2081298828125,0.016193347,-43.111846923828125,0.2,0.9805288910865784,5136,-0.025633088283939287,0.008710225316463038,1258.0,-2.22046645
165376,7,1980,29,0.40691137313842773,0.0004092704424510632,0.02816861867904663,0.0985107421875,0.014569255,-43.09165978431702,0.2,0.9802262187004089,5152,-0.01638804652611725,0.6502457768656313,1258.0,-2.22046645
165888,7,1977,30,-2.880378484725952,0.0004092704424510632,-0.03167508915066719,0.2838134765625,0.021832556,-43.106762766838074,0.2,0.9815124869346619,5168,-0.023579903383506462,0.004487973528739531,1258.0,-2.22046645
166400,8,1977,31,0.0021735429763793945,0.0004092704424510632,-0.034151241183280945,0.235595703125,0.016121626,-43.13944613933563,0.2,0.9816803336143494,5184,-0.02274452755227685,0.005132239079102874,1258.0,-2.21770381
166912,8,1976,32,0.5030142068862915,0.0004092704424510632,0.0588223859667778,0.07177734375,0.013910323,-43.13607692718506,0.2,0.9816155433654785,5200,-0.011607143940636888,0.6814060099422932,1258.0,-2.21770381
167424,8,1974,33,-6.0730299949646,0.0004092704424510632,-0.03269060701131821,0.2314453125,0.018838516,-43.139848709106445,0.2,0.9820430874824524,5216,-0.021556381208938546,0.02662487656925805,1258.0,-2.21510603
167936,8,1974,34,0.3517386317253113,0.0004092704424510632,0.09132823348045349,0.055908203125,0.009071963,-43.15559804439545,0.2,0.9822405576705933,5232,-0.011094898742157966,0.9933581282384694,1258.0,-2.21510603
168448,9,1975,35,-4.519686698913574,0.0004092704424510632,-0.0321284718811512,0.31591796875,0.024688315,-43.17493236064911,0.2,0.9833872318267822,5248,-0.03144195504137315,0.00729961579781957,1258.0,-2.21510603
168960,9,1974,36,0.07051968574523926,0.0004092704424510632,-0.044620316475629807,0.2777099609375,0.019039437,-43.20525920391083,0.2,0.9836734533309937,5264,-0.030770317811402492,0.005352125037461519,1258.0,-2.2124928600000002
169472,9,1974,37,0.46995753049850464,0.0004092704424510632,0.043255556374788284,0.04541015625,0.009781358,-43.2150262594223,0.2,0.9837607145309448,5280,-0.009684594755526632,0.6269023790955544,1258.0,-2.2124928600000002
169984,9,1973,38,-5.982705593109131,0.0004092704424510632,-0.02719372883439064,0.2735595703125,0.022865558,-43.223437666893005,0.2,0.9844733476638794,5296,-0.023103197279851884,0.01181757915765047,1258.0,-2.21086622
170496,10,1973,39,0.3164958357810974,0.0004092704424510632,0.11154155433177948,0.0335693359375,0.008350677,-43.24155926704407,0.2,0.9846912622451782,5312,-0.004408442095154896,0.8404250387102365,1258.0,-2.21086622
