time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
101,1774,29,51712,-0.0338921993970871,0.0004092704424510632,0.9856247305870056,0.2,-0.7952879667282104,0.025050579628441483,0.021603752,-0.031451933973585255,1600,-43.482577085494995,0.295166015625,-3.214165926829268,1258.0
102,1770,29,52224,0.17011316120624542,0.0004092704424510632,0.9856235384941101,0.2,0.2884913682937622,0.540270721539855,0.010789622,-0.010473087342688814,1616,-43.46780574321747,0.04296875,-3.214165926829268,1258.0
103,1768,29,52736,-0.02284104749560356,0.0004092704424510632,0.985654354095459,0.2,-1.517857313156128,0.019484497286612168,0.017306048,-0.026565902051515877,1632,-43.47449588775635,0.2564697265625,-3.214165926829268,1258.0
104,1764,30,53248,-0.03436071053147316,0.0004092704424510632,0.987224817276001,0.2,0.012170553207397461,0.003182313997967867,0.020714309,-0.024621928576380014,1648,-43.49520993232727,0.2452392578125,-3.212320523809524,1258.0
105,1761,30,53760,0.06310168653726578,0.0004092704424510632,0.9877630472183228,0.2,0.021737337112426758,0.7473226650618017,0.011969034,-0.019113169488264248,1664,-43.53646397590637,0.1497802734375,-3.212320523809524,1258.0
106,1758,30,54272,-0.018296018242836,0.0004092704424510632,0.9876407980918884,0.2,-2.55285382270813,0.023010038770735264,0.023073766,-0.024024799786275253,1680,-43.53919172286987,0.26123046875,-3.210497581395349,1258.0
107,1755,31,54784,0.1330254077911377,0.0004092704424510632,0.9874632954597473,0.2,0.2152346968650818,0.6697074426338077,0.0061610895,-0.009030931229062844,1696,-43.5330765247345,0.0281982421875,-3.210497581395349,1258.0
108,1752,31,55296,-0.03771301358938217,0.0004092704424510632,0.986491858959198,0.2,-4.900208950042725,0.020535789779387414,0.042444132,-0.028821221727412194,1712,-43.51972854137421,0.2763671875,-3.210497581395349,1258.0
109,1750,31,55808,-0.045203760266304016,0.0004092704424510632,0.9851812720298767,0.2,0.01563042402267456,0.004917235390166752,0.016742213,-0.02956015191739425,1728,-43.473079323768616,0.2568359375,-3.2101737954545455,1258.0
110,1749,32,56320,0.07322842627763748,0.0004092704424510632,0.9845815300941467,0.2,0.05059981346130371,0.5454016365110874,0.007654484,-0.012554902859847061,1744,-43.44066631793976,0.0745849609375,-3.2101737954545455,1258.0
111,1749,32,56832,-0.02614118531346321,0.0004092704424510632,0.9846059679985046,0.2,-3.5607452392578125,0.025061853229999542,0.019436013,-0.023049695853842422,1760,-43.428579211235046,0.2474365234375,-3.206152888888889,1258.0
112,1749,32,57344,0.11250505596399307,0.0004092704424510632,0.9846545457839966,0.2,0.1782214641571045,0.6204568669199944,0.009543881,-0.008126495318720117,1776,-43.43538224697113,0.0411376953125,-3.206152888888889,1258.0
113,1748,33,57856,-0.019473887979984283,0.0004092704424510632,0.9846053719520569,0.2,-1.9330909252166748,0.03854258154751733,0.024105702,-0.021597080427454785,1792,-43.434637784957886,0.2579345703125,-3.206152888888889,1258.0
114,1748,33,58368,-0.020938944071531296,0.0004092704424510632,0.9857252836227417,0.2,0.4299437403678894,0.02306028240127489,0.018005885,-0.023383741863653995,1808,-43.44501709938049,0.27001953125,-3.2083110869565217,1258.0
115,1748,33,58880,0.013565785251557827,0.0004092704424510632,0.9853947162628174,0.2,0.23192882537841797,0.18597882753238082,0.01943421,-0.013771146244835109,1824,-43.465049266815186,0.134765625,-3.2083110869565217,1258.0
116,1748,33,59392,0.0009589642286300659,0.0004092704424510632,0.9845489859580994,0.2,-0.989638090133667,0.1000009027775377,0.02423862,-0.02292558949557133,1840,-43.43993544578552,0.225341796875,-3.211282510638298,1258.0
117,1748,34,59904,0.05859978497028351,0.0004092704424510632,0.9842445850372314,0.2,0.2274225354194641,0.535470328759402,0.012418784,-0.01406761057296535,1856,-43.41676330566406,0.047119140625,-3.211282510638298,1258.0
118,1746,34,60416,-0.02775970660150051,0.0004092704424510632,0.9855782389640808,0.2,-3.347750663757324,0.019073610747000203,0.01653577,-0.021410999092040583,1872,-43.42254364490509,0.2310791015625,-3.2141888125,1258.0
119,1743,34,60928,0.11463915556669235,0.0004092704424510632,0.9864513278007507,0.2,0.04105579853057861,0.7937234621495008,0.013453381,-0.014947344738175161,1888,-43.464028000831604,0.1064453125,-3.2141888125,1258.0
120,1741,35,61440,-0.03188567981123924,0.0004092704424510632,0.9853408932685852,0.2,-0.9469320774078369,0.00394495805085171,0.017112195,-0.026563061372144148,1904,-43.4537638425827,0.232666015625,-3.2141888125,1258.0
