time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/clip_range,train/std,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
46,222720,141,1554,-40.09890949726105,0.020008054,0.2,0.8897298574447632,6944,0.01029731375456322,-0.040696389973163605,0.0004092704424510632,0.2510986328125,-0.02762504316342529,-2.6099352836608887,-1.9116766099999998,1258.0
46,223232,142,1554,-40.08296597003937,0.022131154,0.2,0.8894474506378174,6960,0.2415190029423684,-0.006462797522544861,0.0004092704424510632,0.1497802734375,-0.01976893885876052,0.8611028790473938,-1.9116766099999998,1258.0
47,223744,143,1554,-40.08684957027435,0.01862745,0.2,0.8904204964637756,6976,0.0034162291485699825,-0.04103395342826843,0.0004092704424510632,0.2542724609375,-0.02739587886026129,-1.1578240394592285,-1.9116766099999998,1258.0
47,224256,144,1554,-40.12638330459595,0.017675253,0.2,0.8910819888114929,6992,0.004563908296404406,-0.032144442200660706,0.0004092704424510632,0.2674560546875,-0.027393087118980475,0.010732173919677734,-1.9092944899999997,1258.0
47,224768,145,1554,-40.137779712677,0.0157171,0.2,0.8912916779518127,7008,0.1886321259662509,0.0027283914387226105,0.0004092704424510632,0.124267578125,-0.01672840813989751,0.8568452596664429,-1.9092944899999997,1258.0
48,225280,146,1553,-40.12348461151123,0.013819761,0.2,0.890105128288269,7024,0.009743050977704115,-0.03849012032151222,0.0004092704424510632,0.227783203125,-0.02528106459067203,-1.0486791133880615,-1.90991112,1258.0
48,225792,147,1553,-40.07612955570221,0.015321108,0.2,0.8891141414642334,7040,0.2627210160717368,0.02724890410900116,0.0004092704424510632,0.0955810546875,-0.015170683414908126,0.8766041994094849,-1.90991112,1258.0
0,226304,1,3699,-40.05779552459717,0.021991722,0.2,0.8890381455421448,7056,0.006821234339440707,-0.03137277811765671,0.0004092704424510632,0.2833251953125,-0.026260436279699206,-3.9487552642822266,-1.90991112,1258.0
0,226816,2,2164,-40.054322361946106,0.018229006,0.2,0.8885573744773865,7072,0.013832172902766615,-0.02633686549961567,0.0004092704424510632,0.255126953125,-0.0257573998242151,0.45196616649627686,-1.90622291,1258.0
0,227328,3,1905,-40.041062355041504,0.021967106,0.2,0.8883786201477051,7088,0.12951650377362967,-0.027640845626592636,0.0004092704424510632,0.15673828125,-0.021704002530896105,0.9040787220001221,-1.90622291,1258.0
1,227840,4,1800,-40.03583216667175,0.020673266,0.2,0.8890318870544434,7104,0.008738572723814286,-0.04292787238955498,0.0004092704424510632,0.28369140625,-0.0296820820949506,-1.5112531185150146,-1.9074302400000005,1258.0
1,228352,5,1749,-40.04742670059204,0.016172793,0.2,0.8887106776237488,7120,0.2121832964476198,0.00937899574637413,0.0004092704424510632,0.1365966796875,-0.017748434707755223,0.8742645978927612,-1.9074302400000005,1258.0
1,228864,6,1717,-40.04306650161743,0.01886398,0.2,0.889729380607605,7136,0.003531353722792119,-0.0350162535905838,0.0004092704424510632,0.2642822265625,-0.026249621296301484,-3.3296995162963867,-1.9074302400000005,1258.0
2,229376,7,1698,-40.08730936050415,0.018450623,0.2,0.8902453184127808,7152,0.060836350778117776,-0.020642511546611786,0.0004092704424510632,0.220947265625,-0.026213790668407455,0.5980141758918762,-1.9075832900000003,1258.0
2,229888,8,1681,-40.08610427379608,0.013871595,0.2,0.8898739814758301,7168,0.20784056652337313,-0.00973559357225895,0.0004092704424510632,0.106689453125,-0.018684029986616224,0.8133724331855774,-1.9075832900000003,1258.0
2,230400,9,1668,-40.07081055641174,0.016862178,0.2,0.8896046280860901,7184,0.006600119348149747,-0.03460628539323807,0.0004092704424510632,0.261474609375,-0.029861880000680685,-1.1265699863433838,-1.9097037800000003,1258.0
3,230912,10,1656,-40.07008707523346,0.019399317,0.2,0.8895925283432007,7200,0.24531050876248628,0.007077798247337341,0.0004092704424510632,0.1204833984375,-0.020508325265836902,0.8257480263710022,-1.9097037800000003,1258.0
3,231424,11,1646,-40.07606863975525,0.015154103,0.2,0.8902658820152283,7216,0.0024114972875395324,-0.03894079849123955,0.0004092704424510632,0.22119140625,-0.02183156879618764,-1.3952724933624268,-1.9097037800000003,1258.0
3,231936,12,1633,-40.09163582324982,0.022145007,0.2,0.8905531764030457,7232,0.044022581714671105,-0.02467566728591919,0.0004092704424510632,0.247802734375,-0.02832731674425304,0.6735900640487671,-1.9097504799999998,1258.0
