time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
25,2211,56832,111,-5.919532775878906,0.9521881341934204,-42.37296688556671,0.006412276146875229,0.2,-0.021136101539013907,-0.024586815387010574,1760,0.0004092704424510632,0.251708984375,0.017444234,-2.934827288888888,1257.0
25,2211,57344,112,0.056847333908081055,0.9524649381637573,-42.4014288187027,0.5193029041402042,0.2,-0.016366889070923207,0.08666901290416718,1776,0.0004092704424510632,0.0977783203125,0.014673023,-2.934827288888888,1257.0
26,2211,57856,113,-0.8508843183517456,0.9519088864326477,-42.39520227909088,0.016298872040351853,0.2,-0.017741644202033058,-0.027095070108771324,1792,0.0004092704424510632,0.188720703125,0.011498883,-2.9367234999999994,1257.0
26,2211,58368,114,0.18930155038833618,0.9517125487327576,-42.37897038459778,0.4466927843168378,0.2,-0.017988129751756787,0.12736859917640686,1808,0.0004092704424510632,0.1087646484375,0.018308826,-2.9367234999999994,1257.0
26,2211,58880,115,-4.247982501983643,0.9520036578178406,-42.378140568733215,0.0167501792893745,0.2,-0.022631088548223488,-0.026236532256007195,1824,0.0004092704424510632,0.2294921875,0.015790077,-2.9367234999999994,1257.0
26,2211,59392,116,-0.008248209953308105,0.9511086940765381,-42.374064683914185,0.004659674828872085,0.2,-0.025680765756987967,-0.026712192222476006,1840,0.0004092704424510632,0.2398681640625,0.018479899,-2.9364933404255313,1257.0
27,2211,59904,117,0.16466379165649414,0.950402557849884,-42.34286022186279,0.5117833367548883,0.2,-0.011323350146994926,0.10555309802293777,1856,0.0004092704424510632,0.085693359375,0.008564614,-2.9364933404255313,1257.0
27,2211,60416,118,-5.087026119232178,0.9502759575843811,-42.329211711883545,0.011493261699797586,0.2,-0.02291622771008406,-0.037448249757289886,1872,0.0004092704424510632,0.2135009765625,0.024633069,-2.935884645833333,1257.0
27,2211,60928,119,0.10829633474349976,0.9504273533821106,-42.333566427230835,0.5248220143839717,0.2,-0.015358944561739918,0.07869446277618408,1888,0.0004092704424510632,0.066162109375,0.013047982,-2.935884645833333,1257.0
27,2211,61440,120,-10.429021835327148,0.9505347013473511,-42.3368638753891,0.015946210522088222,0.2,-0.026925136597128585,-0.037511639297008514,1904,0.0004092704424510632,0.2698974609375,0.02956368,-2.935884645833333,1257.0
