time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/value_loss,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1241,43,105,53760,1664,0.2229914255440235,0.39720451831817627,0.9856544733047485,0.2,0.003994803875684738,0.017125595,-43.474411606788635,0.0004092704424510632,0.1029052734375,-0.014146834364510141,1258.0,-2.7404118571428575
1241,43,106,54272,1680,0.017234434140846133,-3.5955333709716797,0.9848805069923401,0.2,-0.023326069116592407,0.027981846,-43.44380831718445,0.0004092704424510632,0.299560546875,-0.026004457351518795,1258.0,-2.741862581395349
1241,44,107,54784,1696,0.23020549165084958,0.5148097276687622,0.9850562214851379,0.2,0.024973638355731964,0.015148306,-43.431981325149536,0.0004092704424510632,0.0858154296875,-0.01589770610735286,1258.0,-2.741862581395349
1241,44,108,55296,1712,0.009631559281842783,-2.7150936126708984,0.9865672588348389,0.2,-0.03025307133793831,0.02600808,-43.46328639984131,0.0004092704424510632,0.2935791015625,-0.02672666997386841,1258.0,-2.741862581395349
1241,44,109,55808,1728,0.003026639747986337,0.4159209132194519,0.9857928156852722,0.2,-0.047160424292087555,0.022520248,-43.476470708847046,0.0004092704424510632,0.252685546875,-0.023731644090730697,1258.0,-2.7375656136363635
1241,45,110,56320,1744,0.14786590146832168,0.4074821472167969,0.9851767420768738,0.2,-0.01279536820948124,0.023170188,-43.45456838607788,0.0004092704424510632,0.1517333984375,-0.018057985289487988,1258.0,-2.7375656136363635
1241,45,111,56832,1760,0.027233811328187585,-5.538585662841797,0.9846041202545166,0.2,-0.01958571933209896,0.02482463,-43.434889793395996,0.0004092704424510632,0.2261962890625,-0.02013492153491825,1258.0,-2.7357988222222223
1241,46,112,57344,1776,0.4487992648500949,0.2679184675216675,0.9844139814376831,0.2,0.009635265916585922,0.012248611,-43.417211055755615,0.0004092704424510632,0.0897216796875,-0.014393330027814955,1258.0,-2.7357988222222223
1241,46,113,57856,1792,0.01973950638785027,-1.5288493633270264,0.9834883809089661,0.2,-0.03334454074501991,0.023715012,-43.405338764190674,0.0004092704424510632,0.2515869140625,-0.026176207029493526,1258.0,-2.7357988222222223
1241,47,114,58368,1808,0.1087889785412699,0.5756714940071106,0.9829202890396118,0.2,0.009461786597967148,0.021507941,-43.38004744052887,0.0004092704424510632,0.168212890625,-0.022442235975177027,1258.0,-2.737983326086957
1241,47,115,58880,1824,0.0348628249776084,0.8932532668113708,0.9832281470298767,0.2,-0.02647174522280693,0.032487903,-43.3739413022995,0.0004092704424510632,0.2757568359375,-0.02288586959184613,1258.0,-2.737983326086957
1240,47,116,59392,1840,0.033447242400143296,-1.8457005023956299,0.9827631711959839,0.2,-0.018459584563970566,0.028516825,-43.37507092952728,0.0004092704424510632,0.31005859375,-0.03138198055967223,1258.0,-2.7388690851063835
1240,48,117,59904,1856,0.3171738653909415,0.4485030174255371,0.9825618267059326,0.2,0.007075924426317215,0.009072751,-43.36198818683624,0.0004092704424510632,0.047119140625,-0.008479677693685517,1258.0,-2.7388690851063835
1240,48,118,60416,1872,0.009122376053710468,-1.7828505039215088,0.9826334714889526,0.2,-0.021008562296628952,0.022469668,-43.35852539539337,0.0004092704424510632,0.229736328125,-0.018009269348112866,1258.0,-2.739909875
1240,49,119,60928,1888,0.5048813689500093,0.250507652759552,0.9828634858131409,0.2,0.039598915725946426,0.00615402,-43.365161299705505,0.0004092704424510632,0.0185546875,-0.010860643087653443,1258.0,-2.739909875
1240,49,120,61440,1904,0.007774582983984146,-0.5210286378860474,0.9820427298545837,0.2,-0.03454980254173279,0.017742727,-43.356544852256775,0.0004092704424510632,0.2493896484375,-0.026432845421368256,1258.0,-2.739909875
