time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/loss,train/std,train/explained_variance,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
172544,12,1721,43,-42.23951828479767,-0.007226046174764633,0.9549994468688965,0.510668158531189,0.0004092704424510632,0.020518202,0.07334822905249894,-0.028349603846436366,0.3074951171875,0.2,5376,-2.17016018,1258.0
173056,13,1721,44,-42.249486565589905,0.1942407786846161,0.9549621343612671,0.48650407791137695,0.0004092704424510632,0.0052189473,1.3335869908332825,-0.006992415161221288,0.0107421875,0.2,5392,-2.17016018,1258.0
173568,13,1720,45,-42.26429057121277,-0.05028792843222618,0.9561986327171326,-0.0981823205947876,0.0004092704424510632,0.018165408,0.0030997203866718337,-0.030015137934242375,0.2584228515625,0.2,5408,-2.17016018,1258.0
174080,13,1719,46,-42.29405748844147,0.09809662401676178,0.9566593766212463,0.8113732933998108,0.0004092704424510632,0.0077826693,0.5221058526076376,-0.005850489978911355,0.0225830078125,0.2,5424,-2.1690805899999996,1258.0
174592,13,1719,47,-42.30029487609863,-0.029593104496598244,0.9565497636795044,0.9759113192558289,0.0004092704424510632,0.02747785,0.04931646952172741,-0.022408893899410032,0.241943359375,0.2,5440,-2.1690805899999996,1258.0
175104,14,1718,48,-42.28794598579407,0.019931480288505554,0.9556979537010193,0.4406663775444031,0.0004092704424510632,0.01953113,0.12608711957000196,-0.023962368853972293,0.213134765625,0.2,5456,-2.1683745400000003,1258.0
175616,14,1718,49,-42.267874002456665,0.07856257259845734,0.9554659724235535,0.5490822792053223,0.0004092704424510632,0.0062440913,1.485706061590463,-0.005507472262252122,0.024169921875,0.2,5472,-2.1683745400000003,1258.0
176128,14,1718,50,-42.28008496761322,-0.022498533129692078,0.9563392400741577,0.5649563670158386,0.0004092704424510632,0.018652689,0.022189865412656218,-0.02522271867201198,0.248291015625,0.2,5488,-2.1665819099999997,1258.0
176640,15,1717,51,-42.30309247970581,0.11430573463439941,0.9564877152442932,0.5586414933204651,0.0004092704424510632,0.006425824,1.0584153276868165,-0.0036647875531343743,0.02978515625,0.2,5504,-2.1665819099999997,1258.0
177152,15,1717,52,-42.31195020675659,-0.04038462042808533,0.9571240544319153,-3.39510440826416,0.0004092704424510632,0.015559778,0.005958345551334787,-0.02542083489970537,0.2352294921875,0.2,5520,-2.1665819099999997,1258.0
