time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
40448,32,1229,79,1248,0.00713733970769681,-43.31194341182709,0.9802111983299255,0.017265275,-1.5835957527160645,0.2159423828125,-0.03633138909935951,0.2,-0.02458290194044821,0.0004092704424510632,1257.0,-2.36873428125
40960,33,1229,80,1264,0.0631369358743541,-43.28417611122131,0.9798158407211304,0.01892342,0.18977171182632446,0.15869140625,-0.025960640981793404,0.2,-0.022097164270235226,0.0004092704424510632,1257.0,-2.36873428125
41472,33,1229,81,1280,0.004626048605132382,-43.27118742465973,0.9789921045303345,0.016113918,-1.4227945804595947,0.229248046875,-0.026464318856596947,0.2,-0.02441937524417881,0.0004092704424510632,1257.0,-2.36873428125
41984,34,1229,82,1296,0.004876949380559381,-43.23211896419525,0.9774665832519531,0.01529292,0.5187690258026123,0.2293701171875,-0.024528121575713158,0.2,-0.026722445734776556,0.0004092704424510632,1257.0,-2.3619503636363635
42496,34,1229,83,1312,0.021096933720400557,-43.18717968463898,0.9763855934143066,0.033796802,0.34138911962509155,0.27783203125,-0.026181966066360474,0.2,-0.02251736237667501,0.0004092704424510632,1257.0,-2.3619503636363635
43008,34,1229,84,1328,0.004539754241704941,-43.19056975841522,0.9778338074684143,0.0137964375,-2.0230600833892822,0.1976318359375,-0.02827344462275505,0.2,-0.020867623563390225,0.0004092704424510632,1257.0,-2.360706588235294
43520,35,1229,85,1344,0.061210152809508145,-43.24339246749878,0.9790056347846985,0.024625208,0.14119493961334229,0.243896484375,-0.0267830491065979,0.2,-0.029768556414637715,0.0004092704424510632,1257.0,-2.360706588235294
44032,35,1229,86,1360,0.008052442106418312,-43.26275098323822,0.9792940616607666,0.018659584,-0.8658105134963989,0.2376708984375,-0.03401502966880798,0.2,-0.02431428837007843,0.0004092704424510632,1257.0,-2.3584578285714284
44544,36,1229,87,1376,0.054371038218960166,-43.2568553686142,0.9785259962081909,0.017347276,0.4373766779899597,0.1724853515625,-0.023145560175180435,0.2,-0.02150190256361384,0.0004092704424510632,1257.0,-2.3584578285714284
45056,36,1228,88,1392,0.004865578091994394,-43.23187804222107,0.9780561923980713,0.026853625,-1.3715283870697021,0.3009033203125,-0.03627109155058861,0.2,-0.028422718693036586,0.0004092704424510632,1257.0,-2.3584578285714284
45568,37,1228,89,1408,0.003617318106989842,-43.21670889854431,0.9779192209243774,0.014659364,-0.7636269330978394,0.2694091796875,-0.04059213772416115,0.2,-0.02898035556791001,0.0004092704424510632,1257.0,-2.355369083333333
