time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/value_loss,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
33,1721,112,132608,1.5724831521511078,4128,0.9625692963600159,0.2,0.018798828125,-0.008359144965652376,0.16428613662719727,-42.6452614068985,0.21531011164188385,0.0057654716,0.0004092704424510632,1257.0,-2.4293788600000004
33,1721,113,133120,0.0065272229694528505,4144,0.960991621017456,0.2,0.2115478515625,-0.023879728592874017,-0.0180206298828125,-42.62398552894592,-0.031187890097498894,0.016082883,0.0004092704424510632,1257.0,-2.4293788600000004
33,1720,114,133632,0.007144446775782853,4160,0.9583367705345154,0.2,0.2635498046875,-0.02540153839800041,0.18593370914459229,-42.56029236316681,-0.03521256893873215,0.01848652,0.0004092704424510632,1257.0,-2.4289049000000005
34,1719,115,134144,0.5582255236804485,4176,0.9574941396713257,0.2,0.02880859375,-0.003285543847596273,0.5535918474197388,-42.50080466270447,0.09196989238262177,0.0043423623,0.0004092704424510632,1257.0,-2.4289049000000005
34,1718,116,134656,0.02084202502737753,4192,0.9583052396774292,0.2,0.252197265625,-0.02355263316712808,-1.9082403182983398,-42.50208055973053,-0.026637602597475052,0.016499177,0.0004092704424510632,1257.0,-2.4284285800000003
34,1718,117,135168,0.6947537711821496,4208,0.9586512446403503,0.2,0.0250244140625,-0.008558067689591553,0.5930850505828857,-42.530701637268066,0.0932939350605011,0.0076200706,0.0004092704424510632,1257.0,-2.4284285800000003
35,1717,118,135680,0.020507197303231806,4224,0.9579492807388306,0.2,0.264404296875,-0.02757650247804122,0.10399037599563599,-42.52839207649231,-0.04129635915160179,0.01975403,0.0004092704424510632,1257.0,-2.4284285800000003
35,1717,119,136192,0.09003605495672673,4240,0.957634687423706,0.2,0.174560546875,-0.019707812403794378,0.6477227210998535,-42.5061491727829,-0.005502261221408844,0.015810288,0.0004092704424510632,1257.0,-2.4283723700000004
35,1716,120,136704,0.5723321761470288,4256,0.9575161933898926,0.2,0.075439453125,-0.01232835918199271,0.6597368717193604,-42.49683880805969,0.12044954299926758,0.012721131,0.0004092704424510632,1257.0,-2.4283723700000004
36,1715,121,137216,0.024759828171227127,4272,0.9570740461349487,0.2,0.2374267578125,-0.028160063535324298,-1.9690756797790527,-42.48610067367554,-0.03038223832845688,0.017703982,0.0004092704424510632,1257.0,-2.4279093
36,1715,122,137728,0.7076699160970747,4288,0.9570372700691223,0.2,0.0533447265625,-0.010903351991146337,0.5035163760185242,-42.474234223365784,0.07379347085952759,0.013703292,0.0004092704424510632,1257.0,-2.4279093
36,1714,123,138240,0.015736686007585377,4304,0.9563401937484741,0.2,0.272216796875,-0.0284605230554007,0.15256911516189575,-42.463682413101196,-0.038856592029333115,0.017161246,0.0004092704424510632,1257.0,-2.4279093
37,1713,124,138752,0.24541934439912438,4320,0.9557912349700928,0.2,0.08251953125,-0.013480592489941046,0.8066666126251221,-42.43040060997009,0.08504969626665115,0.011311282,0.0004092704424510632,1257.0,-2.42514307
37,1713,125,139264,0.0911283946770709,4336,0.955562949180603,0.2,0.2069091796875,-0.020180982537567616,0.8670927286148071,-42.41962432861328,-0.024059228599071503,0.029518336,0.0004092704424510632,1257.0,-2.42514307
37,1712,126,139776,0.017149393126601353,4352,0.9566746354103088,0.2,0.24951171875,-0.023109714355086908,-3.4605884552001953,-42.42965829372406,-0.03630441799759865,0.017868837,0.0004092704424510632,1257.0,-2.42144988
37,1711,127,140288,0.7559425397776067,4368,0.9568735957145691,0.2,0.05810546875,-0.007671061219298281,0.4641737937927246,-42.455880880355835,0.09769905358552933,0.01311238,0.0004092704424510632,1257.0,-2.42144988
38,1711,128,140800,0.009495286387391388,4384,0.9570086002349854,0.2,0.3037109375,-0.0342596193368081,0.08918213844299316,-42.450514912605286,-0.045416440814733505,0.023323193,0.0004092704424510632,1257.0,-2.41779675
38,1710,129,141312,0.6044253432191908,4400,0.9569199681282043,0.2,0.0528564453125,-0.0075734305355581455,0.7725235223770142,-42.44973540306091,0.11684376746416092,0.011200054,0.0004092704424510632,1257.0,-2.41779675
38,1708,130,141824,0.007596171722980216,4416,0.9579931497573853,0.2,0.271240234375,-0.029843038093531504,-1.0371592044830322,-42.457046031951904,-0.037931736558675766,0.019081881,0.0004092704424510632,1257.0,-2.41779675
39,1708,131,142336,0.0055712019457132556,4432,0.958565890789032,0.2,0.23046875,-0.0238934577209875,-0.45830702781677246,-42.48219454288483,-0.033657416701316833,0.016386462,0.0004092704424510632,1257.0,-2.41666882
39,1707,132,142848,1.2983656558208168,4448,0.9585948586463928,0.2,0.009765625,-0.0016610716265859082,0.3856741189956665,-42.48800015449524,0.0796223133802414,0.00502476,0.0004092704424510632,1257.0,-2.41666882
39,1706,133,143360,0.005558528260735329,4464,0.960272490978241,0.2,0.2513427734375,-0.027817007328849286,-1.9671657085418701,-42.50997531414032,-0.030728649348020554,0.016143713,0.0004092704424510632,1257.0,-2.4160703399999996
40,1706,134,143872,0.8448620298877358,4480,0.960789144039154,0.2,0.01904296875,-0.0066735705331666395,0.4950348138809204,-42.556957364082336,0.06860382854938507,0.0052570635,0.0004092704424510632,1257.0,-2.4160703399999996
40,1705,135,144384,0.00951251266815234,4496,0.9633708000183105,0.2,0.218505859375,-0.02217066213779617,-0.16255974769592285,-42.6014643907547,-0.025696642696857452,0.013662349,0.0004092704424510632,1257.0,-2.4160703399999996
40,1704,136,144896,0.005220956743869465,4512,0.9633018374443054,0.2,0.2874755859375,-0.032021539082052186,-0.5307767391204834,-42.65301585197449,-0.04850203916430473,0.019779323,0.0004092704424510632,1257.0,-2.4135338099999997
41,1704,137,145408,1.2810212606564164,4528,0.9629819393157959,0.2,0.050537109375,-0.009521092812065035,0.389035701751709,-42.63846170902252,0.11365067213773727,0.010687377,0.0004092704424510632,1257.0,-2.4135338099999997
41,1703,138,145920,0.008180456716218032,4544,0.9611073732376099,0.2,0.293212890625,-0.028147949662525207,-2.600128412246704,-42.61311173439026,-0.029631905257701874,0.023675367,0.0004092704424510632,1257.0,-2.41339794
41,1703,139,146432,1.3067346895113587,4560,0.9604290127754211,0.2,0.034423828125,-0.009202087137964554,0.4096648693084717,-42.565738797187805,0.07970713824033737,0.0076729404,0.0004092704424510632,1257.0,-2.41339794
42,1702,140,146944,0.01262529645464383,4576,0.9598132371902466,0.2,0.2098388671875,-0.025799668190302327,-0.4661540985107422,-42.54739964008331,-0.031034106388688087,0.013797005,0.0004092704424510632,1257.0,-2.41339794
42,1701,141,147456,0.008205504855141044,4592,0.9619641900062561,0.2,0.2958984375,-0.03397361806128174,0.04627358913421631,-42.55317664146423,-0.048184335231781006,0.027627151,0.0004092704424510632,1257.0,-2.4119515
42,1701,142,147968,0.8436043849214911,4608,0.9626776576042175,0.2,0.0340576171875,-0.008253643623902462,0.5952121615409851,-42.60847580432892,0.16092121601104736,0.007358722,0.0004092704424510632,1257.0,-2.4119515
43,1701,143,148480,0.014021221926668659,4624,0.9646519422531128,0.2,0.21826171875,-0.023385719920042902,-2.290785312652588,-42.642544627189636,-0.022245433181524277,0.015743019,0.0004092704424510632,1257.0,-2.4123029
43,1700,144,148992,1.301151279360056,4640,0.9651718735694885,0.2,0.0179443359375,-0.006708458859066013,0.1986425518989563,-42.69533455371857,0.10875069350004196,0.005711487,0.0004092704424510632,1257.0,-2.4123029
43,1699,145,149504,0.06308247603010386,4656,0.964685320854187,0.2,0.28857421875,-0.029833467160642613,0.33702027797698975,-42.69264459609985,-0.013070924207568169,0.026805304,0.0004092704424510632,1257.0,-2.4123029
43,1699,146,150016,0.2702597691677511,4672,0.9657390713691711,0.2,0.1531982421875,-0.01938936853548512,0.5610077381134033,-42.6994354724884,0.0681830644607544,0.019941404,0.0004092704424510632,1257.0,-2.4075084799999997
44,1699,147,150528,0.5110712205059826,4688,0.9663752317428589,0.2,0.07080078125,-0.016186502325581387,0.7200616002082825,-42.731664419174194,0.051095545291900635,0.01636434,0.0004092704424510632,1257.0,-2.4075084799999997
0,4188,1,151040,0.03439568687463179,4704,0.9650298357009888,0.2,0.2568359375,-0.02363664832955692,-1.9917140007019043,-42.727137207984924,-0.02336326241493225,0.021308858,0.0004092704424510632,1257.0,-2.4050732999999997
0,2359,2,151552,0.9625553721562028,4720,0.9644907712936401,0.2,0.0302734375,-0.008194291003746912,0.5546294450759888,-42.68229341506958,0.2161976397037506,0.00724086,0.0004092704424510632,1257.0,-2.4050732999999997
0,2028,3,152064,0.02615877951029688,4736,0.9653464555740356,0.2,0.219482421875,-0.025260041933506727,0.3865213990211487,-42.68861484527588,-0.024752693250775337,0.016685646,0.0004092704424510632,1257.0,-2.4050732999999997
1,1911,4,152576,0.3020627307705581,4752,0.9650012254714966,0.2,0.1392822265625,-0.01710415509296581,0.7521263360977173,-42.700660824775696,0.09812275320291519,0.020771008,0.0004092704424510632,1257.0,-2.4027102799999995
1,1850,5,153088,0.1421544995973818,4768,0.9638487100601196,0.2,0.20947265625,-0.020771886716829613,0.8815888166427612,-42.67399263381958,-0.019002409651875496,0.034406327,0.0004092704424510632,1257.0,-2.4027102799999995
1,1811,6,153600,0.022741796070476994,4784,0.9621408581733704,0.2,0.2501220703125,-0.0245806245948188,-3.66194486618042,-42.62719213962555,-0.027818962931632996,0.017581478,0.0004092704424510632,1257.0,-2.4021817899999998
2,1782,7,154112,0.8545222226530313,4800,0.9613804221153259,0.2,0.072265625,-0.015389982028864324,0.4259352684020996,-42.58121836185455,0.07671819627285004,0.013807805,0.0004092704424510632,1257.0,-2.4021817899999998
2,1762,8,154624,0.010961489955661818,4816,0.9576893448829651,0.2,0.263427734375,-0.02376856390037574,0.29203033447265625,-42.52279043197632,-0.02342936582863331,0.017231215,0.0004092704424510632,1257.0,-2.40037189
2,1749,9,155136,0.7850222969427705,4832,0.9565264582633972,0.2,0.0103759765625,-0.006551481346832588,0.809730052947998,-42.421266913414,0.41861873865127563,0.0060113957,0.0004092704424510632,1257.0,-2.40037189
2,1738,10,155648,0.009039627489983104,4848,0.9544340968132019,0.2,0.2296142578125,-0.024486187408911064,-1.2435660362243652,-42.38428509235382,-0.023019209504127502,0.015251336,0.0004092704424510632,1257.0,-2.40037189
3,1729,11,156160,0.004790832623257302,4864,0.9547232985496521,0.2,0.2518310546875,-0.028261564766580705,-0.09000599384307861,-42.33970534801483,-0.03220651298761368,0.01657577,0.0004092704424510632,1257.0,-2.39908484
3,1722,12,156672,1.0540566346608102,4880,0.9548888802528381,0.2,0.017333984375,-0.003941140937968157,0.40519535541534424,-42.34481453895569,0.23237839341163635,0.006891967,0.0004092704424510632,1257.0,-2.39908484
3,1716,13,157184,0.008700597885763273,4896,0.957444965839386,0.2,0.2794189453125,-0.02720806305296719,-1.753528118133545,-42.37586987018585,-0.03003411553800106,0.022166364,0.0004092704424510632,1257.0,-2.39686034
4,1711,14,157696,0.9933708687312901,4912,0.9582942724227905,0.2,0.041015625,-0.004396924065076746,0.5198110938072205,-42.44013798236847,0.3659994602203369,0.0052507785,0.0004092704424510632,1257.0,-2.39686034
4,1706,15,158208,0.05106687895022333,4928,0.9604021310806274,0.2,0.2337646484375,-0.02541666322213132,-0.1261686086654663,-42.47154641151428,-0.00417051836848259,0.016749138,0.0004092704424510632,1257.0,-2.39686034
4,1702,16,158720,0.0049880914884852245,4944,0.9608413577079773,0.2,0.2366943359375,-0.024664001277415082,-0.4209812879562378,-42.514753222465515,-0.02719283476471901,0.016582735,0.0004092704424510632,1257.0,-2.39307103
5,1698,17,159232,0.7091896259225905,4960,0.9605377912521362,0.2,0.0330810546875,-0.009097360984014813,0.4744306802749634,-42.493677854537964,0.08109217137098312,0.010347145,0.0004092704424510632,1257.0,-2.39307103
5,1694,18,159744,0.007309295411687344,4976,0.9606565833091736,0.2,0.26513671875,-0.027789946092525497,-3.085725784301758,-42.49001693725586,-0.043952908366918564,0.020595318,0.0004092704424510632,1257.0,-2.3936316700000004
5,1690,19,160256,1.4033058509230614,4992,0.9607433676719666,0.2,0.03173828125,-0.012382235858240165,0.4014069437980652,-42.49236524105072,0.08750160038471222,0.007188537,0.0004092704424510632,1257.0,-2.3936316700000004
6,1687,20,160768,0.010455409967107698,5008,0.9597627520561218,0.2,0.25146484375,-0.027912808509427123,0.16610127687454224,-42.483052134513855,-0.03362853825092316,0.016981352,0.0004092704424510632,1257.0,-2.3936316700000004
6,1683,21,161280,0.05505398451350629,5024,0.9594077467918396,0.2,0.244140625,-0.026938019960653037,0.45807158946990967,-42.45414435863495,-0.012525444850325584,0.016980844,0.0004092704424510632,1257.0,-2.39337995
6,1680,22,161792,0.7790497513487935,5040,0.9596677422523499,0.2,0.02880859375,-0.006806814490118995,0.6478246450424194,-42.459909200668335,0.035905756056308746,0.008808778,0.0004092704424510632,1257.0,-2.39337995
7,1678,23,162304,0.03227548091672361,5056,0.9626919031143188,0.2,0.2333984375,-0.025233686465071514,-1.9628705978393555,-42.50701880455017,-0.028264449909329414,0.020578116,0.0004092704424510632,1257.0,-2.39359635
7,1676,24,162816,0.8638082137331367,5072,0.9634182453155518,0.2,0.02734375,-0.00600824283901602,0.49261605739593506,-42.58481538295746,0.08702453970909119,0.007793112,0.0004092704424510632,1257.0,-2.39359635
7,1675,25,163328,0.009488591342233121,5088,0.9627912044525146,0.2,0.2362060546875,-0.02546722693659831,0.1418653130531311,-42.5797301530838,-0.025289542973041534,0.017834747,0.0004092704424510632,1257.0,-2.39359635
